,season,league,avg_salary,yoy_pct_change
45,2011-2012,mlb,2741648.463848721,
46,2012-2013,mlb,2764795.6994818654,0.84
47,2013-2014,mlb,2371143.836523126,-14.24
48,2014-2015,mlb,2536976.070093458,6.99
49,2015-2016,mlb,2401919.9824945293,-5.32
50,2016-2017,mlb,2483208.511494253,3.38
51,2017-2018,mlb,2487462.7263157894,0.17
52,2018-2019,mlb,2489801.289473684,0.09
53,2019-2020,mlb,2455201.394576271,-1.39
54,2020-2021,mlb,1105882.0704125178,-54.96
55,2021-2022,mlb,2227077.4865951743,101.38
56,2022-2023,mlb,2654393.5653061224,19.19
57,2023-2024,mlb,2889399.948630137,8.85
58,2024-2025,mlb,2962993.026243094,2.55
59,2025-2026,mlb,3039705.6671105195,2.59
0,2011-2012,nba,4156340.539170507,
1,2012-2013,nba,4280105.748888889,2.98
2,2013-2014,nba,4243082.986666666,-0.86
3,2014-2015,nba,4304295.608407079,1.44
4,2015-2016,nba,4778248.842572062,11.01
5,2016-2017,nba,6148050.636363637,28.67
6,2017-2018,nba,6855055.886666667,11.5
7,2018-2019,nba,7107106.897777778,3.68
8,2019-2020,nba,7845805.789237668,10.39
9,2020-2021,nba,7977786.734375,1.68
10,2021-2022,nba,8395703.775055679,5.24
11,2022-2023,nba,9128250.404444445,8.73
12,2023-2024,nba,10090592.59111111,10.54
13,2024-2025,nba,11105029.035555556,10.05
14,2025-2026,nba,11740316.816371681,5.72
15,2011-2012,nfl,1784307.0645327826,
16,2012-2013,nfl,1699069.3701989818,-4.78
17,2013-2014,nfl,1706283.10427939,0.42
18,2014-2015,nfl,1807291.5033849129,5.92
19,2015-2016,nfl,1896563.7437739463,4.94
20,2016-2017,nfl,2053140.3065970575,8.26
21,2017-2018,nfl,2201580.7732394366,7.23
22,2018-2019,nfl,2374417.6687233034,7.85
23,2019-2020,nfl,2460636.041392286,3.63
24,2020-2021,nfl,2725710.798151751,10.77
25,2021-2022,nfl,2326221.25503663,-14.66
26,2022-2023,nfl,2602362.378054624,11.87
27,2023-2024,nfl,2815166.72417154,8.18
28,2024-2025,nfl,3058427.465060241,8.64
29,2025-2026,nfl,3370625.779129621,10.21
30,2011-2012,nhl,1924931.4744525547,
31,2012-2013,nhl,2228130.342615012,15.75
32,2013-2014,nhl,2172830.989860583,-2.48
33,2014-2015,nhl,2325003.1068211067,7.0
34,2015-2016,nhl,2639716.584210526,13.54
35,2016-2017,nhl,2724487.30183727,3.21
36,2017-2018,nhl,2705586.2085427134,-0.69
37,2018-2019,nhl,2889746.7430025446,6.81
38,2019-2020,nhl,3106779.8958868897,7.51
39,2020-2021,nhl,2654360.4216990788,-14.56
40,2021-2022,nhl,2886433.0829545455,8.74
41,2022-2023,nhl,3113719.7352587245,7.87
42,2023-2024,nhl,3246956.42875,4.28
43,2024-2025,nhl,3254885.4604316545,0.24
44,2025-2026,nhl,3460414.0912322276,6.31
