,Player,Age,Team,Season,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,G,GS,PTS_p100,AST_p100,TRB_p100,STL_p100,BLK_p100,TOV_p100,3PA_p100,FG%,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Is_Allstar,Is_AllNBA,Salary,PercentofCap,season_number,playoffs_G,playoffs_GS,playoffs_MPG,playoffs_MP,playoffs_PER,playoffs_TS%,playoffs_USG%,playoffs_OWS,playoffs_DWS,playoffs_WS,playoffs_WS48,playoffs_OBPM,playoffs_DBPM,playoffs_BPM,playoffs_VORP,playoffs_FG%,playoffs_3P%,playoffs_3PA100,playoffs_TRB100,playoffs_AST100,playoffs_STL100,playoffs_BLK100,playoffs_TOV100,playoffs_PTS100
0,Kevin Durant,23.0,OKC,2011,0,0,1,0,0,66.0,66.0,37.5,4.7,10.7,1.8,1.6,5.0,7.0,0.496,0.387,0.547,0.86,38.6,26.2,0.61,31.3,8.5,3.7,12.2,0.23,6.2,0.8,7.0,5.8,1,1,"$15,506,632",26.72%,5,20.0,20.0,41.9,837.0,27.5,0.632,28.8,3.5,0.6,4.0,0.231,7.3,0.8,8.1,2.2,0.517,0.373,7.0,9.4,4.7,1.8,1.5,4.0,36.1
1,Kobe Bryant,33.0,LAL,2011,0,1,0,0,0,58.0,58.0,38.4,6.3,7.4,1.6,0.4,4.8,6.8,0.43,0.303,0.462,0.845,38.5,21.9,0.527,35.7,4.2,2.0,6.2,0.132,4.2,-0.9,3.3,2.9,1,1,"$25,244,493",43.49%,16,12.0,12.0,39.7,476.0,24.4,0.525,35.8,1.4,0.0,1.4,0.143,5.7,-0.3,5.4,0.9,0.439,0.283,6.8,6.6,5.9,1.8,0.2,3.8,40.7
2,LeBron James,27.0,MIA,2011,0,0,1,0,0,62.0,62.0,38.1,8.8,11.1,2.6,1.1,4.8,3.4,0.531,0.362,0.554,0.771,37.5,30.7,0.605,32.0,10.0,4.5,14.5,0.298,8.2,2.7,10.9,7.6,1,1,"$16,022,500",27.60%,9,23.0,23.0,42.7,983.0,30.3,0.576,33.4,4.2,1.6,5.8,0.284,8.1,2.5,10.5,3.1,0.5,0.259,4.7,12.4,7.2,2.4,0.9,4.5,38.7
3,Kevin Love,23.0,MIN,2011,0,0,0,1,0,55.0,55.0,34.3,2.7,17.6,1.1,0.7,3.1,6.8,0.448,0.372,0.497,0.824,39.0,25.4,0.568,28.8,7.6,2.3,10.0,0.223,6.1,-0.9,5.2,3.9,1,1,"$4,609,704",7.94%,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Russell Westbrook,23.0,OKC,2011,1,0,0,0,0,66.0,66.0,34.5,8.0,6.7,2.5,0.5,5.3,4.3,0.457,0.316,0.481,0.823,35.3,22.9,0.538,32.7,5.5,2.4,7.9,0.163,3.7,-0.7,3.0,3.0,1,1,"$5,082,415",8.76%,4,20.0,20.0,38.4,767.0,22.6,0.506,30.7,1.8,0.3,2.1,0.133,3.9,-0.5,3.4,1.0,0.435,0.277,4.5,7.5,8.1,2.1,0.6,3.1,31.9
5,Carmelo Anthony,27.0,NYK,2011,0,0,1,0,0,55.0,55.0,34.2,5.5,9.4,1.7,0.7,4.0,5.6,0.43,0.335,0.463,0.804,34.1,21.1,0.525,31.8,3.7,2.6,6.2,0.16,3.8,-0.2,3.6,2.7,1,1,"$18,518,574",31.90%,9,5.0,5.0,40.8,204.0,21.5,0.489,36.2,0.3,0.0,0.4,0.091,4.8,-0.1,4.7,0.3,0.419,0.222,4.9,11.1,3.0,1.6,0.3,3.8,37.6
6,Dwyane Wade,30.0,MIA,2011,0,1,0,0,0,49.0,49.0,35.0,7.3,7.7,2.7,2.0,4.2,1.8,0.497,0.268,0.506,0.791,33.2,26.3,0.559,31.3,4.8,2.9,7.7,0.227,6.0,1.9,7.9,4.0,1,1,"$15,512,000",26.72%,9,23.0,23.0,39.4,907.0,22.0,0.526,29.9,1.8,1.3,3.1,0.165,3.9,1.4,5.3,1.7,0.462,0.294,2.0,7.2,6.0,2.3,1.8,4.1,31.6
7,Derrick Rose,23.0,CHI,2011,1,0,0,0,0,39.0,39.0,33.4,12.0,5.1,1.4,1.1,4.7,6.8,0.435,0.312,0.473,0.812,35.3,23.0,0.532,30.5,4.1,2.0,6.0,0.211,6.1,0.3,6.4,2.9,1,0,"$5,629,082",9.70%,4,1.0,1.0,37.0,37.0,22.9,0.482,36.3,0.0,0.1,0.1,0.092,6.4,-1.0,5.4,0.1,0.391,0.5,8.8,13.3,13.3,1.5,1.5,7.4,33.9
8,LaMarcus Aldridge,26.0,POR,2011,0,0,0,1,0,55.0,55.0,31.4,3.5,11.7,1.3,1.2,2.9,0.3,0.512,0.182,0.513,0.814,36.3,22.7,0.56,27.0,5.4,1.6,7.0,0.169,3.4,-0.4,3.0,2.5,1,0,"$12,372,000",21.31%,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Dirk Nowitzki,33.0,DAL,2011,0,0,0,1,0,62.0,62.0,33.9,3.4,10.6,1.1,0.8,3.0,5.4,0.457,0.368,0.495,0.896,33.5,21.7,0.564,29.2,5.0,2.6,7.6,0.175,3.7,0.1,3.7,3.0,1,1,"$19,092,873",32.89%,14,4.0,4.0,38.5,154.0,22.5,0.56,31.5,0.5,0.0,0.4,0.139,3.7,-0.5,3.2,0.2,0.442,0.167,2.1,8.6,2.4,1.0,0.0,3.4,36.8
10,Deron Williams,27.0,NJN,2011,1,0,0,0,0,55.0,55.0,30.7,12.8,4.9,1.8,0.5,5.8,9.1,0.407,0.336,0.467,0.843,36.3,20.3,0.527,30.1,3.7,0.4,4.1,0.099,4.2,-1.9,2.3,2.2,1,0,"$16,359,805",28.19%,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Blake Griffin,22.0,LAC,2011,0,0,0,1,0,66.0,66.0,30.8,4.7,16.1,1.2,1.1,3.4,0.4,0.549,0.125,0.55,0.521,36.2,23.4,0.557,26.6,6.6,2.6,9.2,0.185,3.9,-0.2,3.7,3.4,1,1,"$5,731,080",9.87%,2,11.0,11.0,35.7,393.0,20.8,0.533,27.3,0.6,0.4,1.0,0.118,2.4,0.5,2.8,0.5,0.5,0.0,0.1,10.4,3.7,2.7,1.4,3.4,28.9
12,Eric Gordon,23.0,NOH,2011,0,1,0,0,0,9.0,9.0,32.4,5.4,4.4,2.3,0.7,4.2,7.0,0.45,0.25,0.486,0.754,34.4,19.2,0.549,29.4,0.5,0.3,0.7,0.115,2.2,-0.3,1.9,0.3,0,0,"$3,831,183",6.60%,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dwight Howard,26.0,ORL,2011,0,0,0,0,1,54.0,54.0,29.0,2.7,20.4,2.1,3.0,4.6,0.2,0.573,0.0,0.573,0.491,38.3,24.2,0.569,26.1,3.3,4.4,7.7,0.179,2.2,2.0,4.3,3.3,1,1,"$18,091,770",31.17%,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Monta Ellis,26.0,2TM,2011,0,1,0,0,0,58.0,58.0,28.8,8.4,4.9,2.1,0.4,4.3,4.9,0.433,0.308,0.463,0.796,36.6,17.5,0.509,28.7,1.6,0.9,2.6,0.059,1.0,-1.3,-0.3,0.9,0,0,"$11,000,000",18.95%,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,David Lee,28.0,GSW,2011,0,0,0,1,0,57.0,57.0,28.1,4.0,13.4,1.3,0.5,3.7,0.1,0.503,0.0,0.503,0.782,37.2,19.7,0.549,26.0,3.8,1.2,5.0,0.113,1.2,-1.6,-0.3,0.9,0,0,"$11,610,000",20.00%,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Chris Paul,26.0,LAC,2011,1,0,0,0,0,60.0,60.0,29.3,13.4,5.3,3.8,0.1,3.1,5.3,0.478,0.371,0.522,0.861,36.4,27.0,0.581,24.3,10.4,2.3,12.7,0.278,6.7,2.4,9.2,6.1,1,1,"$16,359,805",28.19%,7,11.0,11.0,38.5,423.0,20.0,0.525,26.0,0.5,0.4,0.9,0.103,2.6,1.1,3.7,0.6,0.427,0.333,5.0,7.1,11.1,3.8,0.1,5.5,24.8
17,Andrea Bargnani,26.0,TOR,2011,0,0,0,0,1,31.0,31.0,31.4,3.2,9.0,0.9,0.8,3.6,6.0,0.432,0.296,0.467,0.873,33.3,17.9,0.538,28.7,1.3,0.9,2.2,0.104,2.4,-1.3,1.1,0.8,0,0,"$9,250,000",15.94%,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Paul Pierce,34.0,BOS,2011,0,0,1,0,0,61.0,61.0,30.2,7.0,8.1,1.8,0.7,4.4,7.0,0.443,0.366,0.499,0.852,34.0,19.6,0.567,28.1,3.3,3.7,7.0,0.161,3.0,1.1,4.2,3.2,1,0,"$15,333,334",26.42%,14,20.0,20.0,38.9,778.0,16.1,0.516,26.5,0.3,1.3,1.7,0.102,1.3,1.2,2.4,0.9,0.386,0.31,6.1,8.5,4.4,2.1,1.3,3.9,26.5
19,Al Jefferson,27.0,UTA,2011,0,0,0,0,1,61.0,61.0,29.6,3.4,14.8,1.2,2.6,1.6,0.1,0.492,0.25,0.493,0.774,34.0,22.8,0.52,25.7,4.9,2.5,7.5,0.173,3.5,0.2,3.7,3.0,0,0,"$14,000,000",24.12%,8,4.0,4.0,35.3,141.0,21.1,0.523,23.0,0.3,0.0,0.3,0.101,4.1,2.0,6.1,0.3,0.529,0.0,0.4,12.6,3.7,1.9,1.1,1.9,27.0
20,Brook Lopez,23.0,NJN,2011,0,0,0,0,1,5.0,5.0,37.6,2.3,7.0,0.4,1.6,2.3,0.0,0.494,0.0,0.494,0.625,27.2,21.9,0.527,32.7,0.3,0.0,0.3,0.091,3.4,-2.8,0.6,0.1,0,0,"$3,076,983",5.30%,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Brandon Jennings,22.0,MIL,2011,1,0,0,0,0,66.0,66.0,27.7,8.0,5.0,2.3,0.5,3.2,8.5,0.418,0.332,0.476,0.808,35.3,18.4,0.514,25.9,3.8,1.8,5.5,0.114,3.0,-0.3,2.7,2.8,0,0,"$2,493,720",4.30%,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Rudy Gay,25.0,MEM,2011,0,0,1,0,0,65.0,65.0,26.9,3.2,9.1,2.1,1.2,3.5,3.8,0.455,0.312,0.48,0.791,37.3,17.8,0.521,25.1,2.8,3.3,6.0,0.12,1.7,0.2,1.9,2.4,0,0,"$12,099,043",20.84%,6,7.0,7.0,39.9,279.0,14.6,0.505,25.3,0.2,0.3,0.5,0.085,0.5,0.1,0.6,0.2,0.421,0.211,3.7,9.0,2.0,1.8,0.4,4.1,26.1
23,Joe Johnson,30.0,ATL,2011,0,1,0,0,0,60.0,60.0,28.2,5.8,5.5,1.2,0.3,2.9,8.1,0.454,0.388,0.521,0.849,35.5,18.4,0.557,24.9,4.4,2.1,6.4,0.145,3.1,-1.0,2.1,2.2,1,0,"$18,038,573",31.08%,11,6.0,6.0,40.5,243.0,11.7,0.458,25.4,-0.2,0.4,0.2,0.042,1.0,-0.2,0.7,0.2,0.373,0.25,8.1,4.7,4.7,1.8,0.2,3.6,23.1
24,Josh Smith,26.0,ATL,2011,0,0,0,1,0,66.0,66.0,28.3,5.9,14.4,2.1,2.6,3.7,2.5,0.458,0.257,0.47,0.63,35.3,21.1,0.499,28.4,1.9,4.9,6.8,0.139,1.7,2.1,3.8,3.3,0,0,"$12,400,000",21.36%,8,5.0,5.0,39.2,196.0,15.8,0.432,27.5,-0.2,0.5,0.2,0.059,0.9,2.1,3.1,0.3,0.386,0.0,1.1,18.9,6.7,0.8,1.4,4.2,23.4
25,Andrew Bynum,24.0,LAL,2011,0,0,0,0,1,60.0,60.0,28.2,2.1,17.8,0.7,2.9,3.8,0.1,0.558,0.2,0.558,0.692,35.2,22.9,0.594,23.8,4.8,3.3,8.0,0.183,2.7,0.2,2.9,2.6,1,1,"$14,900,000",25.67%,7,12.0,12.0,37.6,451.0,22.9,0.545,20.0,1.3,0.3,1.6,0.167,3.4,0.5,4.0,0.7,0.477,0.0,0.0,15.9,2.1,0.6,4.4,1.9,23.9
26,Danny Granger,28.0,IND,2011,0,0,1,0,0,62.0,62.0,29.7,2.8,7.9,1.6,1.0,2.8,8.3,0.416,0.381,0.481,0.873,33.3,18.6,0.542,25.9,4.5,2.2,6.7,0.155,3.5,-0.6,2.9,2.5,0,0,"$12,015,904",20.70%,7,11.0,11.0,38.2,420.0,12.9,0.502,23.7,0.3,0.4,0.7,0.075,1.7,-1.0,0.7,0.3,0.397,0.356,9.5,8.1,3.5,0.8,0.5,3.8,24.3
27,Marcus Thornton,24.0,SAC,2011,0,1,0,0,0,51.0,51.0,27.1,2.8,5.4,2.0,0.3,2.4,8.8,0.438,0.345,0.505,0.865,34.9,17.4,0.544,23.4,3.7,0.1,3.8,0.103,2.4,-1.4,1.1,1.4,0,0,"$7,000,000",12.06%,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Kyrie Irving,19.0,CLE,2011,1,0,0,0,0,51.0,51.0,31.8,9.3,6.4,1.8,0.7,5.4,6.2,0.469,0.399,0.517,0.872,30.5,21.4,0.566,28.7,3.4,0.6,4.1,0.125,4.6,-0.5,4.1,2.4,0,0,"$5,144,280",8.86%,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Tony Parker,29.0,SAS,2011,1,0,0,0,0,60.0,60.0,29.4,12.4,4.6,1.5,0.1,4.1,1.6,0.48,0.23,0.488,0.799,32.1,22.0,0.539,27.7,5.5,1.6,7.1,0.177,3.6,-0.9,2.7,2.3,1,1,"$12,500,000",21.54%,11,14.0,14.0,36.1,506.0,19.4,0.535,28.3,1.1,0.3,1.4,0.134,2.3,-1.1,1.1,0.4,0.453,0.333,2.2,5.1,9.7,1.3,0.0,4.5,28.9
30,DeMarcus Cousins,21.0,SAC,2011,0,0,0,0,1,64.0,62.0,30.2,2.7,18.3,2.4,1.9,4.4,0.4,0.448,0.143,0.449,0.702,30.5,21.7,0.499,29.7,2.1,2.2,4.2,0.104,0.4,-1.3,-0.8,0.6,0,0,"$3,627,720",6.25%,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Chris Bosh,27.0,MIA,2011,0,0,0,1,0,57.0,57.0,26.9,2.7,11.9,1.3,1.2,3.1,0.9,0.487,0.286,0.493,0.821,35.2,18.9,0.551,24.2,3.6,3.3,6.9,0.165,1.0,-0.2,0.8,1.4,1,0,"$16,022,500",27.60%,9,14.0,10.0,31.4,439.0,19.7,0.574,20.8,1.1,0.6,1.7,0.183,2.9,-0.4,2.5,0.5,0.493,0.538,1.6,13.5,1.0,0.7,1.7,2.5,24.3
32,Amar'e Stoudemire,29.0,NYK,2011,0,0,0,1,0,47.0,47.0,27.5,1.7,12.3,1.3,1.5,3.7,0.7,0.483,0.238,0.487,0.765,32.8,17.7,0.541,25.4,1.8,2.3,4.1,0.128,0.1,-0.4,-0.3,0.7,0,0,"$18,217,705",31.39%,10,4.0,4.0,34.8,139.0,16.9,0.631,20.5,0.3,0.0,0.3,0.104,0.8,1.0,1.8,0.1,0.556,0.0,0.0,10.3,1.2,2.0,0.4,4.8,24.2
33,Pau Gasol,31.0,LAL,2011,0,0,0,1,0,65.0,65.0,24.6,5.2,14.8,0.8,1.9,3.1,0.6,0.501,0.259,0.504,0.782,37.4,20.4,0.547,22.1,5.2,3.1,8.3,0.165,2.6,0.8,3.4,3.3,0,0,"$18,714,150",32.24%,11,12.0,12.0,37.0,444.0,17.0,0.482,17.9,0.6,0.2,0.8,0.088,1.3,1.0,2.3,0.5,0.434,0.4,0.6,13.8,5.3,0.7,3.0,2.4,18.2
34,Antawn Jamison,35.0,CLE,2011,0,0,0,1,0,65.0,65.0,27.3,3.2,10.0,1.2,1.1,2.2,6.5,0.403,0.341,0.447,0.683,33.1,16.1,0.481,26.2,2.1,1.0,3.1,0.07,1.4,-1.6,-0.3,0.9,0,0,"$15,076,715",25.97%,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Kevin Martin,28.0,HOU,2011,0,1,0,0,0,40.0,40.0,28.2,4.6,4.4,1.2,0.1,2.9,9.3,0.413,0.347,0.486,0.894,31.6,16.5,0.554,24.7,2.7,0.6,3.3,0.125,2.3,-1.1,1.3,1.0,0,0,"$11,519,840",19.85%,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,James Harden,22.0,OKC,2011,0,1,0,0,0,62.0,2.0,27.7,6.1,6.7,1.6,0.4,3.6,7.7,0.491,0.39,0.582,0.846,31.4,21.1,0.66,21.6,7.5,1.8,9.3,0.23,4.1,0.2,4.3,3.1,0,0,"$4,604,760",7.93%,3,20.0,0.0,31.5,630.0,20.9,0.605,23.2,2.0,0.4,2.4,0.184,2.9,0.6,3.5,0.9,0.435,0.41,6.6,8.6,5.7,2.6,0.2,3.5,27.4
37,DeMar DeRozan,22.0,TOR,2011,0,1,0,0,0,63.0,63.0,25.7,3.1,5.1,1.2,0.4,3.0,2.2,0.422,0.261,0.435,0.81,35.0,12.8,0.503,25.0,1.1,1.4,2.5,0.054,-1.4,-1.3,-2.7,-0.4,0,0,"$2,112,805",3.64%,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Paul Millsap,26.0,UTA,2011,0,0,0,1,0,64.0,62.0,26.5,3.7,14.1,2.9,1.3,2.8,0.8,0.495,0.226,0.499,0.792,32.8,21.8,0.545,23.2,4.9,2.9,7.8,0.179,2.6,1.3,3.9,3.1,0,0,"$8,103,435",13.96%,6,4.0,4.0,34.8,139.0,11.5,0.393,21.8,-0.2,0.1,-0.2,-0.058,-1.2,-1.2,-2.4,0.0,0.37,0.0,1.1,16.5,0.8,0.4,3.8,3.4,18.0
39,Tyreke Evans,22.0,SAC,2011,0,1,0,0,0,63.0,61.0,24.3,6.6,6.8,2.0,0.7,4.0,2.3,0.453,0.202,0.464,0.779,34.3,16.4,0.512,23.8,2.0,0.6,2.7,0.059,0.3,-0.9,-0.6,0.8,0,0,"$4,151,640",7.15%,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Ty Lawson,24.0,DEN,2011,1,0,0,0,0,61.0,61.0,24.0,9.6,5.4,2.0,0.1,3.6,4.8,0.488,0.365,0.535,0.824,34.8,19.4,0.579,21.2,5.7,1.2,6.9,0.157,3.6,-0.4,3.2,2.8,0,0,"$1,654,440",2.85%,3,7.0,7.0,34.6,242.0,23.2,0.567,22.7,1.0,0.0,1.0,0.196,5.9,0.5,6.4,0.5,0.514,0.321,6.1,4.0,9.2,1.5,0.2,1.8,29.2
41,John Wall,21.0,WAS,2011,1,0,0,0,0,66.0,66.0,23.4,11.5,6.5,2.1,1.2,5.5,0.9,0.423,0.071,0.424,0.789,36.2,17.7,0.502,24.9,1.7,1.9,3.5,0.071,1.3,-0.6,0.7,1.6,0,0,"$5,530,080",9.53%,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ryan Anderson,23.0,ORL,2011,0,0,0,1,0,61.0,61.0,26.9,1.5,12.9,1.4,0.7,1.6,11.6,0.439,0.393,0.548,0.877,32.2,21.2,0.589,21.2,7.0,1.9,8.9,0.219,5.2,-1.1,4.0,3.0,0,0,"$2,244,600",3.87%,4,5.0,5.0,34.4,172.0,7.1,0.51,16.0,0.0,0.0,0.0,0.01,-2.5,-1.5,-4.0,-0.1,0.341,0.4,9.7,7.4,1.3,1.0,0.6,2.9,15.5
43,Kevin Garnett,35.0,BOS,2011,0,0,0,0,1,60.0,60.0,27.0,5.0,14.1,1.6,1.7,3.0,0.3,0.503,0.333,0.505,0.857,31.1,20.4,0.55,24.9,2.6,4.3,6.9,0.178,1.8,2.5,4.3,2.9,0,0,"$21,247,044",36.61%,17,20.0,20.0,36.9,737.0,20.5,0.541,26.5,0.7,1.6,2.3,0.149,2.1,1.9,3.9,1.1,0.497,0.25,0.3,15.3,2.2,1.7,2.2,3.3,28.5
44,Jarrett Jack,28.0,NOH,2011,1,0,0,0,0,45.0,39.0,24.9,10.1,6.3,1.1,0.3,3.8,4.0,0.456,0.348,0.49,0.872,34.0,17.9,0.54,23.3,2.9,0.9,3.8,0.119,2.5,-0.9,1.6,1.4,0,0,"$4,125,000",7.11%,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Luis Scola,31.0,HOU,2011,0,0,0,1,0,66.0,66.0,26.0,3.5,10.8,0.9,0.6,3.9,0.1,0.491,0.0,0.491,0.773,31.3,15.4,0.526,24.8,1.8,1.6,3.4,0.08,-1.0,-0.9,-1.9,0.0,0,0,"$8,591,793",14.80%,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Tim Duncan,35.0,SAS,2011,0,0,0,0,1,58.0,58.0,28.3,4.2,16.4,1.2,2.8,3.1,0.1,0.492,0.0,0.492,0.695,28.2,22.5,0.531,26.2,3.0,2.9,5.9,0.174,2.0,1.3,3.3,2.2,0,0,"$21,164,619",36.46%,15,14.0,14.0,33.1,463.0,22.9,0.529,25.2,1.1,0.7,1.8,0.184,2.8,2.2,5.0,0.8,0.495,0.0,0.1,14.7,4.4,1.1,3.3,2.4,27.3
