,Player,NewTeam,AAV,ContractYears,SalaryCap,PercentofCap
0,Austin Reaves,LAL,46189080,4,164961000,0.28
1,Isaiah Hartenstein,OKC,25000000,3,164961000,0.1515509726541425
2,Coby White,CHO,24666667,3,164961000,0.14953029503943358
3,Ayo Dosunmu,MIN,22400000,5,164961000,0.13578967149811166
4,Norman Powell,CHI,22037500,2,164961000,0.1335921823946266
5,John Collins,DET,17000000,3,164961000,0.1030546614048169
6,Tari Eason,HOU,16289892,5,164961000,0.09874995908123739
7,Mitchell Robinson,BOS,15796200,3,164961000,0.09575717896957463
8,Tobias Harris,SAS,15420100,2,164961000,0.0934772461369657
9,Quentin Grimes,LAL,15000000,4,164961000,0.0909305835924855
