,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST,Images,team,logo,team_abbr
0,Deni Avdija,25.0,POR,2025,66.0,8.5,0.318,0.521,0.802,33.3,20.3,0.6,29.3,4.5,2.4,0.152,3.7,0.6,4.3,3.5,14375000.0,0.093,6,2290.2,633.6,653.4,72.6,59.4,363.0,143.2,20.8,53.6,0,1,0,-0.3,1,0,0.258,39896382.2,16.4984,24.2,6.9,6.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,POR
1,Austin Reaves,27.0,LAL,2025,51.0,9.1,0.36,0.567,0.871,34.5,20.2,0.641,26.7,4.2,1.4,0.153,3.4,-0.6,2.8,2.1,13937574.0,0.0901,5,1677.9,397.8,341.7,81.6,30.6,214.2,96.6,21.1,48.6,1,0,0,0.1,0,0,0.234,36182448.3,14.3868,23.3,4.7,5.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
2,Kevin Porter Jr.,25.0,MIL,2025,38.0,5.6,0.322,0.51,0.878,33.2,18.7,0.567,24.3,1.5,1.3,0.106,0.8,1.2,2.1,1.3,5134000.0,0.0332,7,980.4,414.2,292.6,121.6,26.6,163.4,69.7,14.6,47.4,1,0,0,-0.2,0,0,0.1725,26669328.5,13.9253,17.4,5.2,7.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,MIL
3,James Harden,36.0,CLE,2025,70.0,11.5,0.375,0.529,0.884,34.8,20.7,0.61,28.6,5.6,2.1,0.151,4.6,-0.8,3.9,3.6,39446090.0,0.2551,17,2331.0,784.0,476.0,112.0,42.0,343.0,135.7,20.3,56.0,1,0,0,0.3,0,0,0.3854,59600953.8,13.03,23.6,4.8,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,CLE
4,Saddiq Bey,26.0,NOP,2025,72.0,8.8,0.367,0.529,0.841,31.2,17.1,0.579,21.6,4.5,1.0,0.116,2.3,-1.8,0.5,1.4,6229755.0,0.0403,6,1951.2,280.8,612.0,100.8,7.2,100.8,15.6,15.7,35.0,0,1,0,0.1,0,0,0.1638,25325555.7,12.3464,17.7,5.6,2.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630180.png,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,NOP
5,Payton Pritchard,28.0,BOS,2025,79.0,11.1,0.377,0.561,0.89,32.4,17.1,0.584,21.4,6.1,2.4,0.16,2.6,-0.3,2.3,2.8,7232143.0,0.0468,6,2101.4,639.9,489.8,86.9,15.8,173.8,74.5,15.5,43.1,1,0,0,0.3,0,0,0.1643,25410976.9,11.7516,17.0,3.9,5.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630202.png,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,BOS
6,Norman Powell,32.0,MIA,2025,58.0,11.1,0.38,0.558,0.827,29.6,17.5,0.609,27.2,2.3,1.7,0.112,1.8,-0.3,1.6,1.5,20482758.0,0.1324,11,1977.8,226.2,319.0,98.6,23.2,174.0,47.4,20.8,42.2,1,0,0,0.3,1,0,0.2318,35850162.3,9.9419,21.7,3.5,2.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,MIA
7,Jalen Duren,22.0,DET,2025,70.0,0.0,0.0,0.65,0.747,28.2,26.1,0.688,23.6,7.2,3.8,0.266,4.4,0.5,5.0,3.5,6483144.0,0.0419,4,2338.0,238.0,1260.0,98.0,98.0,224.0,141.0,23.0,40.2,0,0,1,-0.0,4,1,0.1345,20801779.8,9.2611,19.5,10.5,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,DET
8,Ivica Zubac,28.0,IND,2025,48.0,0.0,0.0,0.598,0.711,30.1,18.6,0.622,19.2,2.6,1.6,0.139,0.7,-0.9,-0.3,0.6,18893980.0,0.1222,10,1113.6,172.8,835.2,28.8,67.2,139.2,-9.0,14.4,30.4,0,0,1,-0.0,0,0,0.2039,31529135.7,8.1678,14.1,10.6,2.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,IND
9,Naji Marshall,28.0,DAL,2025,74.0,4.6,0.291,0.548,0.76,29.5,15.4,0.592,20.5,2.5,1.8,0.095,-0.7,0.1,-0.6,0.8,9000000.0,0.0582,6,1805.6,384.8,555.0,133.2,7.4,192.4,-17.7,14.4,34.5,0,1,0,-0.3,0,0,0.1377,21288481.1,7.9459,15.2,4.7,3.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630230.png,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,DAL
