,Feature,Importance
6,MP,0.26019339591140844
13,OBPM,0.1764048515022723
26,OffensiveCreation,0.13691829381564
17,season_number,0.1290228998244758
32,RookieScale,0.11709718560761175
7,PER,0.026762366955963787
9,USG%,0.015834649849934
24,ImpactMinutes,0.015240238248290244
25,EfficientScoring,0.008345319374321805
5,FT%,0.007649508800526575
1,G,0.0076181760030257315
22,BlocksVolume,0.007530630952378899
21,StealsVolume,0.007278945059283379
8,TS%,0.006686618054970255
14,DBPM,0.006493238725468696
20,ReboundingVolume,0.006362316188892631
4,eFG%,0.006009537573117144
2,3PA_p100,0.005994830962570372
12,WS/48,0.005469401943586501
18,ScoringVolume,0.005300490433739209
0,Season,0.0052317357556866985
23,TurnoverVolume,0.00512899397155908
3,3P%,0.004875325120453813
19,PlaymakingVolume,0.004852716299550968
11,DWS,0.004614448152729903
10,OWS,0.004538671529023003
30,ShootingGravity,0.002515958441548677
16,VORP,0.0023893369137379062
15,BPM,0.002372093820366355
27,Is_Guard,0.0016839610796443212
31,accolades,0.0016226970640834735
29,Is_Big,0.0011189458767681926
28,Is_Wing,0.0008422201873700264
