,Player,NewTeam,AAV,ContractYears,SalaryCap,PercentofCap,Age,Expected_Percentage,Expected_Salary,SurplusValuePct,Images,team,logo,team_abbr
0,Austin Reaves,LAL,46189080,4,164961000,0.28,27.0,0.23396799333220597,38595594.14807403,-4.603200666779406,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
1,Isaiah Hartenstein,OKC,25000000,3,164961000,0.1515509726541425,27.0,0.11841486646140169,19533834.786339283,-3.3136106192740806,https://cdn.nba.com/headshots/nba/latest/1040x760/1628392.png,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,OKC
2,Coby White,CHO,24666667,3,164961000,0.1495302950394335,25.0,0.11548966489735758,19051290.611133005,-3.404063014207591,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,CHO
3,Ayo Dosunmu,MIN,22400000,5,164961000,0.1357896714981116,26.0,0.07983592948718285,13169814.76413517,-5.595374201092876,https://cdn.nba.com/headshots/nba/latest/1040x760/1630245.png,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,MIN
4,Norman Powell,CHI,22037500,2,164961000,0.1335921823946266,32.0,0.23181931963853405,38241146.78689221,9.822713724390745,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,CHI
5,John Collins,DET,17000000,3,164961000,0.1030546614048169,28.0,0.12116665295570156,19987772.238225486,1.8111991550884665,https://cdn.nba.com/headshots/nba/latest/1040x760/1628381.png,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,DET
6,Tari Eason,HOU,16289892,5,164961000,0.0987499590812373,24.0,0.038668474230707454,6378790.177571733,-6.008148485052986,https://cdn.nba.com/headshots/nba/latest/1040x760/1631106.png,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,HOU
7,Mitchell Robinson,BOS,15796200,3,164961000,0.0957571789695746,27.0,0.09072629546536792,14966300.426262558,-0.5030883504206676,https://cdn.nba.com/headshots/nba/latest/1040x760/1629011.png,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,BOS
8,Tobias Harris,SAS,15420100,2,164961000,0.0934772461369657,33.0,0.19471486946182193,32120359.58129161,10.123762332485622,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,SAS
9,Quentin Grimes,LAL,15000000,4,164961000,0.0909305835924855,25.0,0.12707997874084043,20963240.373067778,3.6149395148354926,https://cdn.nba.com/headshots/nba/latest/1040x760/1629656.png,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
