,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST,Images,team,logo,team_abbr
0,Anthony Edwards,24.0,MIN,2025,61.0,11.5,0.399,0.572,0.796,35.0,21.8,0.617,31.5,3.9,2.7,0.147,4.7,-0.1,4.5,3.5,45550512.0,0.2945,6,2397.3,305.0,408.7,115.9,67.1,237.9,157.5,24.2,49.9,1,0,0,0.6,1,0,0.2188,33842540.1,-7.5663,28.8,5.0,3.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,MIN
1,Kentavious Caldwell-Pope,32.0,MEM,2025,51.0,7.6,0.316,0.485,0.913,21.3,11.0,0.533,17.7,0.2,0.5,0.032,-2.3,-0.2,-2.5,-0.1,21621500.0,0.1398,13,948.6,311.1,275.4,96.9,15.3,137.7,-53.2,9.9,30.5,1,0,0,-0.3,0,0,0.055,8499535.5,-8.4839,8.4,2.5,2.7,https://cdn.nba.com/headshots/nba/latest/1040x760/203484.png,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,MEM
2,Jonathan Kuminga,23.0,ATL,2025,36.0,6.1,0.333,0.515,0.724,23.1,14.2,0.557,23.4,0.1,0.9,0.059,-1.5,-0.5,-2.0,0.0,23799569.0,0.1539,5,910.8,172.8,421.2,46.8,21.6,140.4,-46.2,14.1,34.8,0,0,1,-0.1,0,0,0.0686,10601079.5,-8.535,12.2,5.6,2.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,ATL
3,Paul George,35.0,PHI,2025,37.0,10.8,0.392,0.536,0.82,30.7,16.7,0.57,23.3,1.1,1.4,0.108,1.0,0.7,1.7,1.1,51666090.0,0.3341,16,1010.1,210.9,307.1,96.2,25.9,99.9,52.2,15.6,39.2,0,0,1,0.5,0,0,0.2389,36944107.8,-9.5207,17.3,5.3,3.6,https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,PHI
4,Karl-Anthony Towns,30.0,NYK,2025,75.0,6.6,0.368,0.556,0.858,31.0,22.0,0.619,25.9,5.5,4.0,0.197,2.7,0.6,3.3,3.1,53142264.0,0.3436,11,2407.5,360.0,1425.0,105.0,67.5,300.0,102.3,19.9,41.8,0,0,1,0.1,1,0,0.2417,37382936.2,-10.1869,20.1,11.9,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,NYK
5,Jalen Suggs,24.0,ORL,2025,57.0,11.0,0.339,0.529,0.855,27.6,15.6,0.561,22.9,0.3,2.4,0.083,0.7,1.8,2.5,1.8,35000000.0,0.2263,5,1368.0,541.5,381.9,182.4,68.4,262.2,69.0,13.5,42.9,1,0,0,-0.1,0,0,0.1158,17905813.1,-11.0515,13.8,3.9,5.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,ORL
6,Jordan Poole,26.0,NOP,2025,39.0,14.8,0.333,0.48,0.86,23.9,11.5,0.53,25.1,0.0,0.2,0.01,-0.9,-2.6,-3.5,-0.4,31848215.0,0.2059,7,1049.1,237.9,152.1,42.9,31.2,136.5,-83.6,14.3,38.8,1,0,0,-0.3,0,0,0.0853,13189483.3,-12.0612,13.4,2.0,3.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629673.png,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,NOP
7,Evan Mobley,24.0,CLE,2025,65.0,4.8,0.297,0.582,0.606,31.9,20.0,0.596,22.6,3.6,2.9,0.15,1.8,1.2,3.0,2.6,46394100.0,0.3,5,1774.5,351.0,884.0,71.5,169.0,182.0,95.7,16.3,37.8,0,0,1,-0.3,0,0,0.175,27062765.5,-12.5003,18.2,9.0,3.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,CLE
8,Zach LaVine,30.0,SAC,2025,39.0,10.0,0.39,0.569,0.88,31.4,14.7,0.614,23.7,1.3,0.0,0.051,0.6,-2.2,-1.5,0.2,47499660.0,0.3071,12,1154.4,136.5,167.7,42.9,15.6,113.1,-47.1,18.2,37.0,1,0,0,0.4,0,0,0.1778,27491041.1,-12.9334,19.2,2.8,2.3,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,SAC
9,Khris Middleton,34.0,DAL,2025,63.0,6.1,0.36,0.482,0.875,22.8,10.9,0.533,20.6,-0.3,0.5,0.008,-2.8,-1.5,-4.4,-0.9,35086419.0,0.2269,14,1323.0,365.4,478.8,81.9,18.9,220.5,-100.3,11.2,32.7,0,1,0,0.1,0,0,0.0951,14705967.7,-13.1806,10.2,3.7,2.8,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,DAL
