,season,player,salary
0,2011-2012,Álex Rodríguez,"$32,000,000"
1,2011-2012,Joe Mauer,"$23,000,000"
2,2011-2012,CC Sabathia,"$23,000,000"
3,2011-2012,Johan Santana,"$22,500,000"
4,2011-2012,Mark Teixeira,"$22,500,000"
5,2011-2012,Josh Beckett,"$20,750,000"
6,2011-2012,Miguel Cabrera,"$20,150,000"
7,2011-2012,Roy Halladay,"$20,050,000"
8,2011-2012,Carl Crawford,"$20,000,000"
9,2011-2012,Ryan Howard,"$20,000,000"
10,2011-2012,Carlos Lee,"$19,000,000"
11,2011-2012,Carlos Zambrano,"$18,875,000"
12,2011-2012,Torii Hunter,"$18,500,000"
13,2011-2012,Barry Zito,"$18,500,000"
14,2011-2012,Alfonso Soriano,"$18,000,000"
15,2011-2012,Vernon Wells,"$18,000,000"
16,2011-2012,Ichiro Suzuki,"$17,000,000"
17,2011-2012,A.J. Burnett,"$16,500,000"
18,2011-2012,Jason Bay,"$16,000,000"
19,2011-2012,Jake Peavy,"$16,000,000"
20,2011-2012,Albert Pujols,"$16,000,000"
21,2011-2012,Michael Young,"$16,000,000"
22,2011-2012,Prince Fielder,"$15,500,000"
23,2011-2012,John Lackey,"$15,250,000"
24,2011-2012,Matt Holliday,"$15,050,000"
25,2011-2012,Chris Carpenter,"$15,000,000"
26,2011-2012,Derek Jeter,"$15,000,000"
27,2011-2012,Derek Lowe,"$15,000,000"
28,2011-2012,Mariano Rivera,"$15,000,000"
29,2011-2012,Chase Utley,"$15,000,000"
30,2011-2012,Aramis Ramirez,"$14,675,000"
31,2011-2012,Ryan Dempster,"$14,500,000"
32,2011-2012,Adrián Beltré,"$14,200,000"
33,2011-2012,Mark Buehrle,"$14,025,000"
34,2011-2012,J.D. Drew,"$14,000,000"
35,2011-2012,Justin Morneau,"$14,000,000"
36,2011-2012,Jayson Werth,"$14,000,000"
37,2011-2012,David Wright,"$14,000,000"
38,2011-2012,Aaron Rowand,"$13,600,000"
39,2011-2012,Zack Greinke,"$13,500,000"
40,2011-2012,Milton Bradley,"$13,333,334"
41,2011-2012,Justin Verlander,"$13,250,000"
42,2011-2012,Tim Lincecum,"$13,100,000"
43,2011-2012,Jorge Posada,"$13,100,000"
44,2011-2012,Carlos Guillén,"$13,000,000"
45,2011-2012,Travis Hafner,"$13,000,000"
46,2011-2012,Dan Haren,"$12,750,000"
47,2011-2012,David Ortiz,"$12,650,000"
48,2011-2012,Hiroki Kuroda,"$12,500,000"
49,2011-2012,Kevin Youkilis,"$12,250,000"
50,2011-2012,Raúl Ibañez,"$12,166,668"
51,2011-2012,Adam Dunn,"$12,000,000"
52,2011-2012,Scott Kazmir,"$12,000,000"
53,2011-2012,Paul Konerko,"$12,000,000"
54,2011-2012,Brad Lidge,"$12,000,000"
55,2011-2012,Victor Martinez,"$12,000,000"
56,2011-2012,Jonathan Papelbon,"$12,000,000"
57,2011-2012,Álex Ríos,"$12,000,000"
58,2011-2012,Felix Hernandez,"$11,950,000"
59,2011-2012,Kyle Lohse,"$11,875,000"
60,2011-2012,Joe Nathan,"$11,250,000"
61,2011-2012,Brandon Phillips,"$11,250,000"
