,season,player,salary
0,2011-2012,Kobe Bryant,43.49%
1,2011-2012,Kevin Garnett,36.61%
2,2011-2012,Tim Duncan,36.46%
3,2011-2012,Rashard Lewis,36.41%
4,2011-2012,Dirk Nowitzki,32.89%
5,2011-2012,Pau Gasol,32.24%
6,2011-2012,Carmelo Anthony,31.90%
7,2011-2012,Amar'e Stoudemire,31.39%
8,2011-2012,Dwight Howard,31.17%
9,2011-2012,Joe Johnson,31.08%
10,2011-2012,Elton Brand,29.39%
11,2011-2012,Chris Paul,28.19%
12,2011-2012,Deron Williams,28.19%
13,2011-2012,Chris Bosh,27.60%
14,2011-2012,LeBron James,27.60%
15,2011-2012,Dwyane Wade,26.72%
16,2011-2012,Kevin Durant,26.72%
17,2011-2012,Paul Pierce,26.42%
18,2011-2012,Zach Randolph,26.19%
19,2011-2012,Antawn Jamison,25.97%
20,2011-2012,Andrew Bynum,25.67%
21,2011-2012,Al Jefferson,24.12%
22,2011-2012,Andre Iguodala,23.31%
23,2011-2012,Carlos Boozer,23.26%
24,2011-2012,Tyson Chandler,22.58%
25,2011-2012,Nene Hilario,22.40%
26,2011-2012,Manu Ginobili,22.36%
27,2011-2012,Marc Gasol,22.26%
28,2011-2012,Emeka Okafor,21.78%
29,2011-2012,Tony Parker,21.54%
30,2011-2012,Josh Smith,21.36%
31,2011-2012,LaMarcus Aldridge,21.31%
32,2011-2012,Luol Deng,21.23%
33,2011-2012,Rudy Gay,20.84%
34,2011-2012,Danny Granger,20.70%
35,2011-2012,Andrew Bogut,20.67%
36,2011-2012,Al Horford,20.67%
37,2011-2012,Joakim Noah,20.67%
38,2011-2012,Steve Nash,20.14%
39,2011-2012,David Lee,20.00%
40,2011-2012,Ben Gordon,19.98%
41,2011-2012,Kevin Martin,19.85%
42,2011-2012,Jason Terry,19.70%
43,2011-2012,Chris Kaman,19.46%
44,2011-2012,Marcus Camby,19.07%
45,2011-2012,Hedo Turkoglu,18.98%
46,2011-2012,Monta Ellis,18.95%
47,2011-2012,Corey Maggette,17.68%
48,2011-2012,Jason Kidd,17.44%
49,2011-2012,DeAndre Jordan,17.37%
50,2011-2012,Rajon Rondo,17.31%
51,2011-2012,Ray Allen,17.23%
52,2011-2012,David West,17.23%
53,2011-2012,Jose Calderon,16.85%
54,2011-2012,Gerald Wallace,16.37%
55,2011-2012,Devin Harris,16.06%
56,2011-2012,Richard Jefferson,15.99%
57,2011-2012,Andrea Bargnani,15.94%
58,2011-2012,Andris Biedrins,15.51%
59,2011-2012,Carl Landry,15.51%
60,2011-2012,Lamar Odom,15.33%
61,2011-2012,Jameer Nelson,14.82%
62,2011-2012,Luis Scola,14.80%
63,2011-2012,John Salmons,14.64%
64,2011-2012,Rodney Stuckey,14.64%
65,2011-2012,Mo Williams,14.64%
66,2011-2012,Paul Millsap,13.96%
67,2011-2012,Shawn Marion,13.82%
68,2011-2012,Caron Butler,13.78%
69,2011-2012,Kirk Hinrich,13.78%
70,2011-2012,Kris Humphries,13.78%
71,2011-2012,Andre Miller,13.45%
72,2011-2012,Arron Afflalo,13.35%
73,2011-2012,Anderson Varejao,13.27%
74,2011-2012,Brendan Haywood,13.14%
75,2011-2012,Leandro Barbosa,13.09%
76,2011-2012,Raymond Felton,13.02%
77,2011-2012,Charlie Villanueva,12.99%
78,2011-2012,Marvin Williams,12.92%
79,2011-2012,Thaddeus Young,12.88%
80,2011-2012,Stephen Jackson,12.84%
81,2011-2012,Tyrus Thomas,12.59%
82,2011-2012,Kendrick Perkins,12.27%
83,2011-2012,Samuel Dalembert,12.06%
84,2011-2012,Marcus Thornton,12.06%
85,2011-2012,DeSagana Diop,11.93%
86,2011-2012,Beno Udrih,11.93%
87,2011-2012,Trevor Ariza,11.70%
88,2011-2012,Marcin Gortat,11.70%
89,2011-2012,Metta World Peace,11.70%
90,2011-2012,Kwame Brown,11.63%
91,2011-2012,J.J. Redick,11.63%
92,2011-2012,Mike Conley,11.39%
93,2011-2012,Grant Hill,11.20%
94,2011-2012,Andray Blatche,11.10%
95,2011-2012,Glen Davis,10.85%
96,2011-2012,Tayshaun Prince,10.84%
97,2011-2012,Drew Gooden,10.73%
98,2011-2012,Al Harrington,10.73%
99,2011-2012,Jermaine O'Neal,10.73%
100,2011-2012,Josh Childress,10.34%
101,2011-2012,Francisco Garcia,9.99%
102,2011-2012,Kyle Lowry,9.91%
103,2011-2012,Blake Griffin,9.87%
104,2011-2012,Luke Walton,9.79%
105,2011-2012,O.J. Mayo,9.70%
106,2011-2012,Derrick Rose,9.70%
107,2011-2012,Channing Frye,9.65%
108,2011-2012,John Wall,9.53%
109,2011-2012,Wilson Chandler,9.50%
110,2011-2012,Amir Johnson,9.48%
111,2011-2012,Mike Miller,9.30%
112,2011-2012,Jason Richardson,9.29%
113,2011-2012,Martell Webster,9.07%
114,2011-2012,Louis Williams,8.92%
115,2011-2012,Kyrie Irving,8.86%
116,2011-2012,Russell Westbrook,8.76%
117,2011-2012,Michael Beasley,8.68%
118,2011-2012,Jamal Crawford,8.61%
119,2011-2012,Kyle Korver,8.61%
120,2011-2012,Jason Maxiell,8.61%
121,2011-2012,Luc Richard Mbah a Moute,8.61%
122,2011-2012,Evan Turner,8.52%
123,2011-2012,Wesley Matthews,8.51%
124,2011-2012,Darko Milicic,8.23%
125,2011-2012,Brad Miller,8.19%
126,2011-2012,Zaza Pachulia,8.18%
127,2011-2012,Ronnie Brewer,8.11%
128,2011-2012,Kevin Love,7.94%
129,2011-2012,Linas Kleiza,7.93%
130,2011-2012,James Harden,7.93%
131,2011-2012,Derrick Williams,7.93%
132,2011-2012,Nikola Pekovic,7.76%
133,2011-2012,Jonas Jerebko,7.75%
134,2011-2012,Derrick Favors,7.66%
135,2011-2012,Daniel Gibson,7.59%
136,2011-2012,Jose Barea,7.41%
137,2011-2012,Ramon Sessions,7.34%
138,2011-2012,Jared Dudley,7.32%
139,2011-2012,Randy Foye,7.32%
140,2011-2012,Chris Andersen,7.29%
141,2011-2012,Chuck Hayes,7.28%
142,2011-2012,Danilo Gallinari,7.22%
143,2011-2012,Tyreke Evans,7.15%
144,2011-2012,Enes Freedom,7.12%
145,2011-2012,Jarrett Jack,7.11%
146,2011-2012,Spencer Hawes,6.98%
147,2011-2012,Richard Hamilton,6.93%
148,2011-2012,Wesley Johnson,6.90%
149,2011-2012,Steve Blake,6.89%
150,2011-2012,Mario Chalmers,6.89%
151,2011-2012,Jordan Farmar,6.89%
152,2011-2012,Ryan Gomes,6.89%
153,2011-2012,Anthony Morrow,6.89%
154,2011-2012,Travis Outlaw,6.89%
155,2011-2012,Hakim Warrick,6.89%
156,2011-2012,Matt Carroll,6.72%
157,2011-2012,Eric Gordon,6.60%
158,2011-2012,Dorell Wright,6.59%
