,season,player,salary
0,2011-2012,Kobe Bryant,"$25,244,493"
1,2011-2012,Kevin Garnett,"$21,247,044"
2,2011-2012,Tim Duncan,"$21,164,619"
3,2011-2012,Rashard Lewis,"$21,136,631"
4,2011-2012,Dirk Nowitzki,"$19,092,873"
5,2011-2012,Pau Gasol,"$18,714,150"
6,2011-2012,Carmelo Anthony,"$18,518,574"
7,2011-2012,Amar'e Stoudemire,"$18,217,705"
8,2011-2012,Dwight Howard,"$18,091,770"
9,2011-2012,Joe Johnson,"$18,038,573"
10,2011-2012,Elton Brand,"$17,059,726"
11,2011-2012,Chris Paul,"$16,359,805"
12,2011-2012,Deron Williams,"$16,359,805"
13,2011-2012,Chris Bosh,"$16,022,500"
14,2011-2012,LeBron James,"$16,022,500"
15,2011-2012,Dwyane Wade,"$15,512,000"
16,2011-2012,Kevin Durant,"$15,506,632"
17,2011-2012,Paul Pierce,"$15,333,334"
18,2011-2012,Zach Randolph,"$15,200,000"
19,2011-2012,Antawn Jamison,"$15,076,715"
20,2011-2012,Andrew Bynum,"$14,900,000"
21,2011-2012,Al Jefferson,"$14,000,000"
22,2011-2012,Andre Iguodala,"$13,531,750"
23,2011-2012,Carlos Boozer,"$13,500,000"
24,2011-2012,Tyson Chandler,"$13,107,838"
25,2011-2012,Nene Hilario,"$13,000,000"
26,2011-2012,Manu Ginobili,"$12,981,038"
27,2011-2012,Marc Gasol,"$12,922,194"
28,2011-2012,Emeka Okafor,"$12,642,500"
29,2011-2012,Tony Parker,"$12,500,000"
30,2011-2012,Josh Smith,"$12,400,000"
31,2011-2012,LaMarcus Aldridge,"$12,372,000"
32,2011-2012,Luol Deng,"$12,325,000"
33,2011-2012,Rudy Gay,"$12,099,043"
34,2011-2012,Danny Granger,"$12,015,904"
35,2011-2012,Andrew Bogut,"$12,000,000"
36,2011-2012,Al Horford,"$12,000,000"
37,2011-2012,Joakim Noah,"$12,000,000"
38,2011-2012,Steve Nash,"$11,689,062"
39,2011-2012,David Lee,"$11,610,000"
40,2011-2012,Ben Gordon,"$11,600,000"
41,2011-2012,Kevin Martin,"$11,519,840"
42,2011-2012,Jason Terry,"$11,437,500"
43,2011-2012,Chris Kaman,"$11,292,439"
44,2011-2012,Marcus Camby,"$11,071,500"
45,2011-2012,Hedo Turkoglu,"$11,015,850"
46,2011-2012,Monta Ellis,"$11,000,000"
47,2011-2012,Corey Maggette,"$10,262,069"
48,2011-2012,Jason Kidd,"$10,121,000"
49,2011-2012,DeAndre Jordan,"$10,079,404"
50,2011-2012,Rajon Rondo,"$10,045,455"
51,2011-2012,Ray Allen,"$10,000,000"
52,2011-2012,David West,"$10,000,000"
53,2011-2012,Jose Calderon,"$9,780,992"
54,2011-2012,Gerald Wallace,"$9,500,000"
55,2011-2012,Devin Harris,"$9,319,000"
56,2011-2012,Richard Jefferson,"$9,282,000"
57,2011-2012,Andrea Bargnani,"$9,250,000"
58,2011-2012,Andris Biedrins,"$9,000,000"
59,2011-2012,Carl Landry,"$9,000,000"
60,2011-2012,Lamar Odom,"$8,900,000"
61,2011-2012,Jameer Nelson,"$8,600,000"
62,2011-2012,Luis Scola,"$8,591,793"
63,2011-2012,John Salmons,"$8,500,000"
64,2011-2012,Rodney Stuckey,"$8,500,000"
65,2011-2012,Mo Williams,"$8,500,000"
66,2011-2012,Paul Millsap,"$8,103,435"
67,2011-2012,Shawn Marion,"$8,022,449"
68,2011-2012,Caron Butler,"$8,000,000"
69,2011-2012,Kirk Hinrich,"$8,000,000"
70,2011-2012,Kris Humphries,"$8,000,000"
71,2011-2012,Andre Miller,"$7,807,728"
72,2011-2012,Arron Afflalo,"$7,750,000"
73,2011-2012,Anderson Varejao,"$7,700,000"
74,2011-2012,Brendan Haywood,"$7,624,500"
75,2011-2012,Leandro Barbosa,"$7,600,000"
76,2011-2012,Raymond Felton,"$7,560,000"
77,2011-2012,Charlie Villanueva,"$7,540,000"
78,2011-2012,Marvin Williams,"$7,500,000"
79,2011-2012,Thaddeus Young,"$7,478,261"
80,2011-2012,Stephen Jackson,"$7,450,354"
81,2011-2012,Tyrus Thomas,"$7,305,765"
82,2011-2012,Kendrick Perkins,"$7,123,626"
83,2011-2012,Samuel Dalembert,"$7,000,000"
