,season,player,salary
0,2011-2012,Alex Ovechkin,"$9,538,462"
1,2011-2012,Sidney Crosby,"$8,700,000"
2,2011-2012,Evgeni Malkin,"$8,700,000"
3,2011-2012,Eric Staal,"$8,250,000"
4,2011-2012,Rick Nash,"$7,800,000"
5,2011-2012,Vincent Lecavalier,"$7,727,237"
6,2011-2012,Marian Gaborik,"$7,500,000"
7,2011-2012,Dany Heatley,"$7,500,000"
8,2011-2012,Steven Stamkos,"$7,500,000"
9,2011-2012,Shea Weber,"$7,500,000"
10,2011-2012,Scott Gomez,"$7,357,143"
11,2011-2012,Brian Campbell,"$7,142,875"
12,2011-2012,Thomas Vanek,"$7,142,857"
13,2011-2012,Drew Doughty,"$7,000,000"
14,2011-2012,Jarome Iginla,"$7,000,000"
15,2011-2012,Jason Spezza,"$7,000,000"
16,2011-2012,Joe Thornton,"$7,000,000"
17,2011-2012,Zdeno Chara,"$6,916,665"
18,2011-2012,Patrick Marleau,"$6,900,000"
19,2011-2012,Henrik Lundqvist,"$6,875,000"
20,2011-2012,Anze Kopitar,"$6,800,000"
21,2011-2012,Mikko Koivu,"$6,750,000"
22,2011-2012,Nicklas Backstrom,"$6,700,000"
23,2011-2012,Pavel Datsyuk,"$6,700,000"
24,2011-2012,Alexander Semin,"$6,700,000"
25,2011-2012,Jay Bouwmeester,"$6,680,000"
26,2011-2012,Dan Boyle,"$6,666,667"
27,2011-2012,Ilya Kovalchuk,"$6,666,667"
28,2011-2012,Brad Richards,"$6,666,667"
29,2011-2012,Paul Stastny,"$6,600,000"
30,2011-2012,Daniel Briere,"$6,500,000"
31,2011-2012,Dion Phaneuf,"$6,500,000"
32,2011-2012,Wade Redden,"$6,500,000"
33,2011-2012,Kimmo Timonen,"$6,333,333"
34,2011-2012,Patrick Kane,"$6,300,000"
35,2011-2012,Jonathan Toews,"$6,300,000"
36,2011-2012,Cam Ward,"$6,300,000"
37,2011-2012,Ryan Miller,"$6,250,000"
38,2011-2012,Ryan Smyth,"$6,250,000"
39,2011-2012,Nicklas Lidstrom,"$6,200,000"
40,2011-2012,Daniel Sedin,"$6,100,000"
41,2011-2012,Henrik Sedin,"$6,100,000"
42,2011-2012,Henrik Zetterberg,"$6,083,333"
43,2011-2012,Niklas Backstrom,"$6,000,000"
44,2011-2012,Michael Cammalleri,"$6,000,000"
45,2011-2012,Patrik Elias,"$6,000,000"
46,2011-2012,Zach Parise,"$6,000,000"
47,2011-2012,Miikka Kiprusoff,"$5,833,333"
48,2011-2012,Brent Seabrook,"$5,800,000"
49,2011-2012,Andrei Markov,"$5,750,000"
50,2011-2012,Mike Richards,"$5,750,000"
51,2011-2012,Ilya Bryzgalov,"$5,666,667"
52,2011-2012,Martin St. Louis,"$5,625,000"
53,2011-2012,Lubomir Visnovsky,"$5,600,000"
54,2011-2012,Duncan Keith,"$5,538,462"
55,2011-2012,Sergei Gonchar,"$5,500,000"
56,2011-2012,Shawn Horcoff,"$5,500,000"
57,2011-2012,James Wisniewski,"$5,500,000"
58,2011-2012,Philip Kessel,"$5,400,000"
59,2011-2012,Roberto Luongo,"$5,333,333"
60,2011-2012,Ryan Getzlaf,"$5,325,000"
61,2011-2012,Corey Perry,"$5,325,000"
62,2011-2012,Jason Pominville,"$5,300,000"
63,2011-2012,Marian Hossa,"$5,275,000"
64,2011-2012,Jeff Carter,"$5,272,727"
65,2011-2012,Mike Green,"$5,250,000"
66,2011-2012,Keith Yandle,"$5,250,000"
67,2011-2012,Martin Brodeur,"$5,200,000"
68,2011-2012,Dustin Byfuglien,"$5,200,000"
69,2011-2012,Bobby Ryan,"$5,100,000"
70,2011-2012,Brian Rolston,"$5,062,500"
71,2011-2012,Patrice Bergeron,"$5,000,000"
72,2011-2012,Marc-Andre Fleury,"$5,000,000"
73,2011-2012,Brian Gionta,"$5,000,000"
74,2011-2012,Martin Havlat,"$5,000,000"
75,2011-2012,Ryan Kesler,"$5,000,000"
76,2011-2012,Paul Martin,"$5,000,000"
77,2011-2012,Tomas Plekanec,"$5,000,000"
78,2011-2012,Michal Rozsival,"$5,000,000"
79,2011-2012,Tim Thomas,"$5,000,000"
80,2011-2012,Chris Pronger,"$4,941,429"
81,2011-2012,Daniel Alfredsson,"$4,875,000"
82,2011-2012,Tim Connolly,"$4,750,000"
83,2011-2012,Kristian Huselius,"$4,750,000"
84,2011-2012,Andy McDonald,"$4,700,000"
85,2011-2012,Kevin Bieksa,"$4,600,000"
86,2011-2012,Shane Doan,"$4,550,000"
87,2011-2012,David Backes,"$4,500,000"
88,2011-2012,Erik Cole,"$4,500,000"
89,2011-2012,Rick DiPietro,"$4,500,000"
90,2011-2012,Martin Erat,"$4,500,000"
91,2011-2012,Tomas Fleischmann,"$4,500,000"
92,2011-2012,Ron Hainsey,"$4,500,000"
93,2011-2012,Dan Hamhuis,"$4,500,000"
94,2011-2012,Jonas Hiller,"$4,500,000"
95,2011-2012,Mike Komisarek,"$4,500,000"
96,2011-2012,Brooks Laich,"$4,500,000"
97,2011-2012,Daymond Langkow,"$4,500,000"
98,2011-2012,David Legwand,"$4,500,000"
99,2011-2012,Ville Leino,"$4,500,000"
100,2011-2012,Ryan Malone,"$4,500,000"
101,2011-2012,Joni Pitkanen,"$4,500,000"
102,2011-2012,Andrew Ladd,"$4,400,000"
103,2011-2012,Jack Johnson,"$4,357,142"
104,2011-2012,Milan Michalek,"$4,333,333"
105,2011-2012,Ryan Callahan,"$4,275,000"
106,2011-2012,David Booth,"$4,250,000"
107,2011-2012,Loui Eriksson,"$4,250,000"
108,2011-2012,Tomas Kaberle,"$4,250,000"
109,2011-2012,Joffrey Lupul,"$4,250,000"
110,2011-2012,Dustin Penner,"$4,250,000"
111,2011-2012,Anton Volchenkov,"$4,250,000"
112,2011-2012,Keith Ballard,"$4,200,000"
113,2011-2012,Brandon Dubinsky,"$4,200,000"
114,2011-2012,Mike Fisher,"$4,200,000"
115,2011-2012,Scott Hartnell,"$4,200,000"
116,2011-2012,John-Michael Liles,"$4,200,000"
117,2011-2012,Ed Jovanovski,"$4,125,000"
118,2011-2012,Ales Hemsky,"$4,100,000"
119,2011-2012,Brenden Morrow,"$4,100,000"
120,2011-2012,Mark Streit,"$4,100,000"
121,2011-2012,Milan Lucic,"$4,083,333"
122,2011-2012,Pierre-Marc Bouchard,"$4,080,000"
123,2011-2012,Nik Antropov,"$4,062,500"
124,2011-2012,Marc Savard,"$4,027,143"
125,2011-2012,Mark Giordano,"$4,020,000"
126,2011-2012,Robyn Regehr,"$4,020,000"
127,2011-2012,Jason Blake,"$4,000,000"
128,2011-2012,Brad Boyes,"$4,000,000"
129,2011-2012,Christian Ehrhoff,"$4,000,000"
130,2011-2012,Tom Gilbert,"$4,000,000"
131,2011-2012,Nathan Horton,"$4,000,000"
132,2011-2012,Andrej Meszaros,"$4,000,000"
133,2011-2012,Zbynek Michalek,"$4,000,000"
134,2011-2012,Joe Pavelski,"$4,000,000"
135,2011-2012,Derek Roy,"$4,000,000"
136,2011-2012,Teemu Selanne,"$4,000,000"
137,2011-2012,Jordan Staal,"$4,000,000"
138,2011-2012,Drew Stafford,"$4,000,000"
139,2011-2012,Ryan Whitney,"$4,000,000"
140,2011-2012,Marek Zidlicky,"$4,000,000"
141,2011-2012,Marc Staal,"$3,975,000"
142,2011-2012,Johan Franzen,"$3,954,545"
143,2011-2012,Dennis Wideman,"$3,937,500"
144,2011-2012,Patrick Sharp,"$3,900,000"
145,2011-2012,Travis Zajac,"$3,887,500"
146,2011-2012,Sean Avery,"$3,875,000"
147,2011-2012,Eric Brewer,"$3,875,000"
148,2011-2012,Pavel Kubina,"$3,850,000"
149,2011-2012,Jaroslav Spacek,"$3,833,333"
150,2011-2012,Francois Beauchemin,"$3,800,000"
151,2011-2012,Antti Niemi,"$3,800,000"
152,2011-2012,Tuomo Ruutu,"$3,800,000"
153,2011-2012,Wojtek Wolski,"$3,800,000"
154,2011-2012,Tobias Enstrom,"$3,750,000"
155,2011-2012,Claude Giroux,"$3,750,000"
156,2011-2012,Jaroslav Halak,"$3,750,000"
157,2011-2012,Nikolai Khabibulin,"$3,750,000"
158,2011-2012,David Krejci,"$3,750,000"
159,2011-2012,Brooks Orpik,"$3,750,000"
160,2011-2012,Brad Stuart,"$3,750,000"
161,2011-2012,R.J. Umberger,"$3,750,000"
162,2011-2012,Antoine Vermette,"$3,750,000"
163,2011-2012,Chris Kunitz,"$3,725,000"
164,2011-2012,Filip Kuba,"$3,700,000"
165,2011-2012,Justin Williams,"$3,650,000"
166,2011-2012,Ryane Clowe,"$3,625,000"
167,2011-2012,Barret Jackman,"$3,625,000"
168,2011-2012,Mattias Ohlund,"$3,607,143"
169,2011-2012,Cory Sarich,"$3,600,000"
170,2011-2012,Luke Schenn,"$3,600,000"
171,2011-2012,Jarret Stoll,"$3,600,000"
172,2011-2012,Brent Burns,"$3,550,000"
173,2011-2012,Kari Lehtonen,"$3,550,000"
174,2011-2012,Jochen Hecht,"$3,525,000"
175,2011-2012,Matt Cullen,"$3,500,000"
176,2011-2012,Simon Gagne,"$3,500,000"
177,2011-2012,Roman Hamrlik,"$3,500,000"
178,2011-2012,Niklas Hjalmarsson,"$3,500,000"
179,2011-2012,Kris Letang,"$3,500,000"
180,2011-2012,Matthew Lombardi,"$3,500,000"
181,2011-2012,Willie Mitchell,"$3,500,000"
182,2011-2012,John Oduya,"$3,500,000"
183,2011-2012,Vaclav Prospal,"$3,500,000"
184,2011-2012,Michael Ryder,"$3,500,000"
185,2011-2012,Nick Schultz,"$3,500,000"
186,2011-2012,Matt Stajan,"$3,500,000"
187,2011-2012,Ryan Suter,"$3,500,000"
188,2011-2012,Alex Tanguay,"$3,500,000"
189,2011-2012,Scottie Upshall,"$3,500,000"
190,2011-2012,Matt Carle,"$3,437,500"
191,2011-2012,Pekka Rinne,"$3,400,000"
192,2011-2012,Rob Scuderi,"$3,400,000"
193,2011-2012,Dainius Zubrus,"$3,400,000"
194,2011-2012,Dave Bolland,"$3,375,000"
195,2011-2012,Henrik Tallinder,"$3,375,000"
196,2011-2012,Alexander Steen,"$3,362,500"
197,2011-2012,Rene Bourque,"$3,333,333"
198,2011-2012,Dan Girardi,"$3,325,000"
199,2011-2012,Trevor Daley,"$3,300,000"
200,2011-2012,Jaromir Jagr,"$3,300,000"
201,2011-2012,Stephane Robidas,"$3,300,000"
202,2011-2012,Alexander Edler,"$3,250,000"
203,2011-2012,Jonathan Ericsson,"$3,250,000"
204,2011-2012,Jan Hejda,"$3,250,000"
205,2011-2012,Andrei Kostitsyn,"$3,250,000"
206,2011-2012,Clarke MacArthur,"$3,250,000"
207,2011-2012,Dennis Seidenberg,"$3,250,000"
208,2011-2012,Derick Brassard,"$3,200,000"
209,2011-2012,Braydon Coburn,"$3,200,000"
210,2011-2012,Craig Anderson,"$3,187,500"
211,2011-2012,Dustin Brown,"$3,175,000"
212,2011-2012,Matt Moulson,"$3,133,333"
213,2011-2012,Rostislav Olesz,"$3,125,000"
214,2011-2012,Kyle Quincey,"$3,125,000"
215,2011-2012,Evander Kane,"$3,100,000"
216,2011-2012,Marc-Edouard Vlasic,"$3,100,000"
217,2011-2012,Stephen Weiss,"$3,100,000"
218,2011-2012,Patric Hornqvist,"$3,083,333"
219,2011-2012,Chris Phillips,"$3,083,333"
220,2011-2012,Kris Versteeg,"$3,083,333"
221,2011-2012,Valtteri Filppula,"$3,000,000"
222,2011-2012,Michael Grabner,"$3,000,000"
223,2011-2012,Andy Greene,"$3,000,000"
224,2011-2012,Niklas Hagman,"$3,000,000"
225,2011-2012,Milan Hejduk,"$3,000,000"
226,2011-2012,Jussi Jokinen,"$3,000,000"
227,2011-2012,Olli Jokinen,"$3,000,000"
228,2011-2012,Tomas Kopecky,"$3,000,000"
229,2011-2012,Niklas Kronwall,"$3,000,000"
230,2011-2012,Jordan Leopold,"$3,000,000"
231,2011-2012,Toni Lydman,"$3,000,000"
232,2011-2012,Marc Methot,"$3,000,000"
233,2011-2012,Devin Setoguchi,"$3,000,000"
234,2011-2012,Radim Vrbata,"$3,000,000"
235,2011-2012,Joel Ward,"$3,000,000"
236,2011-2012,Ray Whitney,"$3,000,000"
237,2011-2012,Rostislav Klesla,"$2,975,000"
238,2011-2012,Matt Greene,"$2,950,000"
239,2011-2012,Steve Ott,"$2,950,000"
240,2011-2012,Bryan Allen,"$2,900,000"
241,2011-2012,Mikhail Grabovski,"$2,900,000"
242,2011-2012,Steve Mason,"$2,900,000"
243,2011-2012,Bryce Salvador,"$2,900,000"
244,2011-2012,Jiri Hudler,"$2,875,000"
245,2011-2012,James Neal,"$2,875,000"
246,2011-2012,Tom Poti,"$2,875,000"
247,2011-2012,Chris Stewart,"$2,875,000"
248,2011-2012,Ian White,"$2,875,000"
249,2011-2012,Fedor Tyutin,"$2,843,750"
250,2011-2012,Semyon Varlamov,"$2,833,333"
251,2011-2012,Jason Arnott,"$2,800,000"
252,2011-2012,Dan Cleary,"$2,800,000"
253,2011-2012,Kyle Okposo,"$2,800,000"
254,2011-2012,Sean Bergenheim,"$2,750,000"
255,2011-2012,Tim Gleason,"$2,750,000"
