,Player,Images
0,Luka Dončić,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
1,Shai Gilgeous-Alexander,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
2,Anthony Edwards,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png
3,Jaylen Brown,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png
4,Tyrese Maxey,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
5,Kawhi Leonard,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png
6,Donovan Mitchell,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
7,Nikola Jokić,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
8,Giannis Antetokounmpo,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
9,Joel Embiid,https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png
10,Lauri Markkanen,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png
11,Stephen Curry,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
12,Devin Booker,https://cdn.nba.com/headshots/nba/latest/1040x760/1626164.png
13,Jalen Brunson,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png
14,Kevin Durant,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
15,Jamal Murray,https://cdn.nba.com/headshots/nba/latest/1040x760/1627750.png
16,Victor Wembanyama,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png
17,Deni Avdija,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png
18,Michael Porter Jr.,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png
19,Pascal Siakam,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png
20,Cade Cunningham,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
21,James Harden,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png
24,Keyonte George,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png
25,Austin Reaves,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png
26,Jalen Johnson,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
27,Paolo Banchero,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
28,Jayson Tatum,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png
29,Norman Powell,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png
30,Brandon Ingram,https://cdn.nba.com/headshots/nba/latest/1040x760/1627742.png
31,Trey Murphy III,https://cdn.nba.com/headshots/nba/latest/1040x760/1630530.png
32,Julius Randle,https://cdn.nba.com/headshots/nba/latest/1040x760/203944.png
33,Cooper Flagg,https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png
34,Zion Williamson,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png
35,LeBron James,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png
36,Nickeil Alexander-Walker,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png
37,Shaedon Sharpe,https://cdn.nba.com/headshots/nba/latest/1040x760/1631101.png
38,Franz Wagner,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png
39,Tyler Herro,https://cdn.nba.com/headshots/nba/latest/1040x760/1629639.png
40,Anthony Davis,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png
41,Alperen Şengün,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
42,Dillon Brooks,https://cdn.nba.com/headshots/nba/latest/1040x760/1628415.png
43,Brandon Miller,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
44,Bam Adebayo,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
45,LaMelo Ball,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
46,Desmond Bane,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png
47,Karl-Anthony Towns,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png
48,Jimmy Butler,https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png
49,Ty Jerome,https://cdn.nba.com/headshots/nba/latest/1040x760/1629660.png
50,Jalen Duren,https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png
51,Ja Morant,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png
52,Jaren Jackson Jr.,https://cdn.nba.com/headshots/nba/latest/1040x760/1628991.png
55,RJ Barrett,https://cdn.nba.com/headshots/nba/latest/1040x760/1629628.png
56,Zach LaVine,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png
57,Darius Garland,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png
60,CJ McCollum,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
63,De'Aaron Fox,https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png
64,Jerami Grant,https://cdn.nba.com/headshots/nba/latest/1040x760/203924.png
65,Kon Knueppel,https://cdn.nba.com/headshots/nba/latest/1040x760/1642851.png
66,DeMar DeRozan,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png
67,Amen Thompson,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png
68,Evan Mobley,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png
69,Scottie Barnes,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
70,Trae Young,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
73,Jalen Green,https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png
74,Saddiq Bey,https://cdn.nba.com/headshots/nba/latest/1040x760/1630180.png
75,Bennedict Mathurin,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png
78,Coby White,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png
81,Kevin Porter Jr.,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png
82,Paul George,https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png
83,Ryan Rollins,https://cdn.nba.com/headshots/nba/latest/1040x760/1631157.png
84,Miles Bridges,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png
85,Chet Holmgren,https://cdn.nba.com/headshots/nba/latest/1040x760/1631096.png
86,Jalen Williams,https://cdn.nba.com/headshots/nba/latest/1040x760/1631114.png
