,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Season
0,1,Arron Afflalo,SG,26,DEN,7,7,32.7,4.3,10.6,.405,0.6,2.9,.200,3.7,7.7,.481,.432,1.7,2.1,.800,0.7,2.9,3.6,2.7,0.7,0.3,1.3,2.0,10.9,2011-2012
1,2,Blake Ahearn,PG,27,UTA,3,0,2.7,0.7,1.0,.667,0.3,0.3,1.000,0.3,0.7,.500,.833,0.0,0.0,0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.7,2011-2012
2,3,Cole Aldrich,C,23,OKC,5,0,5.0,0.8,1.8,.444,0.0,0.0,0,0.8,1.8,.444,.444,0.4,0.8,.500,1.0,1.6,2.6,0.0,0.0,0.0,0.0,0.6,2.0,2011-2012
3,4,Lavoy Allen,PF,22,PHI,12,1,19.7,2.8,5.1,.557,0.0,0.0,0,2.8,5.1,.557,.557,0.6,1.0,.583,1.8,3.2,4.9,0.3,0.8,0.9,0.4,2.5,6.3,2011-2012
4,5,Ray Allen,SG,36,BOS,18,10,34.2,3.7,9.3,.395,1.6,5.1,.304,2.1,4.2,.507,.479,1.8,2.5,.711,0.4,3.7,4.1,1.0,0.9,0.1,0.9,2.3,10.7,2011-2012
5,6,Tony Allen,SG,30,MEM,7,7,24.3,2.6,6.4,.400,0.0,0.7,.000,2.6,5.7,.450,.400,1.7,2.4,.706,1.1,2.0,3.1,0.7,1.3,1.0,1.4,3.0,6.9,2011-2012
6,7,Lou Amundson,PF,29,IND,11,0,8.5,1.1,2.1,.522,0.0,0.0,0,1.1,2.1,.522,.522,0.3,0.5,.500,0.5,1.5,2.1,0.2,0.2,0.5,0.4,1.5,2.5,2011-2012
7,8,James Anderson,SG,22,SAS,8,0,3.9,0.5,1.1,.444,0.3,0.5,.500,0.3,0.6,.400,.556,0.1,0.3,.500,0.0,0.6,0.6,0.4,0.1,0.0,0.0,0.1,1.4,2011-2012
8,9,Ryan Anderson,PF,23,ORL,5,5,34.4,3.0,8.8,.341,2.4,6.0,.400,0.6,2.8,.214,.477,1.2,1.4,.857,1.8,2.8,4.6,0.8,0.6,0.4,1.8,4.4,9.6,2011-2012
9,10,Carmelo Anthony,SF,27,NYK,5,5,40.8,10.4,24.8,.419,0.8,3.6,.222,9.6,21.2,.453,.435,6.2,8.2,.756,2.6,5.6,8.2,2.2,1.2,0.2,2.8,4.2,27.8,2011-2012
10,11,Joel Anthony,C,29,MIA,17,1,19.4,1.0,1.7,.586,0.0,0.0,0,1.0,1.7,.586,.586,1.2,1.5,.800,1.3,1.9,3.2,0.1,0.3,0.9,0.5,2.4,3.2,2011-2012
11,12,Gilbert Arenas,PG,30,MEM,6,0,3.8,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.0,0.0,0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,1.0,0.7,2011-2012
12,13,Ömer Aşık,C,25,CHI,6,3,21.3,1.2,2.3,.500,0.0,0.0,0,1.2,2.3,.500,.500,1.0,2.8,.353,1.3,3.3,4.7,1.3,0.2,1.7,1.3,2.3,3.3,2011-2012
13,14,Jeff Ayres,C,24,IND,4,0,2.3,0.3,0.8,.333,0.0,0.0,0,0.3,0.8,.333,.333,0.0,0.0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,2011-2012
14,15,Kelenna Azubuike,SG,28,DAL,1,0,5.0,1.0,3.0,.333,1.0,1.0,1.000,0.0,2.0,.000,.500,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2011-2012
15,16,Leandro Barbosa,SG,29,IND,11,0,20.3,2.5,6.6,.370,0.3,1.8,.150,2.2,4.8,.453,.390,0.5,1.1,.500,0.5,1.7,2.2,1.3,0.5,0.1,1.2,2.1,5.7,2011-2012
16,17,Matt Barnes,SF,31,LAL,11,0,16.8,1.5,5.4,.271,0.5,2.8,.161,1.0,2.5,.393,.314,0.2,0.4,.500,0.8,2.5,3.3,1.5,0.9,0.5,1.4,2.6,3.5,2011-2012
17,18,Brandon Bass,PF,26,BOS,20,20,30.4,4.1,8.8,.463,0.0,0.0,0,4.1,8.8,.463,.463,3.0,3.2,.922,1.3,4.0,5.3,0.8,0.7,0.5,0.8,2.5,11.1,2011-2012
18,19,Shane Battier,SF,33,MIA,23,16,33.4,2.3,6.1,.379,1.8,4.8,.382,0.5,1.3,.367,.529,0.6,0.7,.813,0.7,2.6,3.2,1.2,1.0,0.6,0.7,3.0,7.0,2011-2012
19,20,Rodrigue Beaubois,PG,23,DAL,2,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,2011-2012
20,21,Mike Bibby,PG,33,NYK,5,1,23.6,1.8,4.6,.391,1.4,3.4,.412,0.4,1.2,.333,.543,0.4,0.6,.667,0.6,3.6,4.2,2.6,0.2,0.0,0.8,1.4,5.4,2011-2012
21,22,DeJuan Blair,PF,22,SAS,10,0,7.6,1.7,2.7,.630,0.0,0.0,0,1.7,2.7,.630,.630,0.3,0.6,.500,0.7,1.6,2.3,0.2,0.3,0.1,0.1,1.0,3.7,2011-2012
22,23,Steve Blake,PG,31,LAL,12,0,25.5,2.2,5.2,.419,1.5,3.6,.419,0.7,1.6,.421,.565,0.4,0.6,.714,0.7,2.2,2.8,2.3,0.7,0.2,1.3,1.8,6.3,2011-2012
23,24,Eric Bledsoe,PG,22,LAC,11,0,17.2,3.4,5.7,.587,0.3,0.6,.429,3.1,5.1,.607,.611,0.9,1.5,.625,1.1,1.3,2.4,2.1,1.2,0.4,1.4,2.1,7.9,2011-2012
24,25,Matt Bonner,PF,31,SAS,13,0,12.7,0.8,2.5,.313,0.6,1.8,.348,0.2,0.7,.222,.438,0.2,0.4,.600,0.2,1.8,1.9,0.7,0.2,0.3,0.2,1.8,2.4,2011-2012
25,26,Carlos Boozer,PF,30,CHI,6,6,33.3,6.3,15.0,.422,0.0,0.0,0,6.3,15.0,.422,.422,0.8,1.2,.714,1.7,8.2,9.8,3.0,0.8,0.3,3.8,3.3,13.5,2011-2012
26,27,Chris Bosh,PF,27,MIA,14,10,31.4,5.2,10.6,.493,0.5,0.9,.538,4.7,9.6,.489,.517,3.1,3.7,.827,2.6,5.2,7.8,0.6,0.4,1.0,1.4,1.4,14.0,2011-2012
27,28,Avery Bradley,PG,21,BOS,10,10,24.8,2.5,6.8,.368,0.5,2.2,.227,2.0,4.6,.435,.404,1.2,1.8,.667,0.3,1.7,2.0,0.8,0.8,0.6,1.0,2.0,6.7,2011-2012
28,29,Elton Brand,C,32,PHI,13,13,27.4,3.5,7.6,.465,0.0,0.0,0,3.5,7.6,.465,.465,1.5,2.5,.625,1.7,3.2,4.8,0.5,0.8,1.5,0.5,2.8,8.6,2011-2012
29,30,Corey Brewer,SF,25,DEN,7,0,16.6,3.3,7.7,.426,0.9,2.9,.300,2.4,4.9,.500,.481,0.9,1.1,.750,0.9,1.1,2.0,0.9,1.0,0.3,0.3,1.6,8.3,2011-2012
30,31,Ronnie Brewer,SG,26,CHI,5,0,16.6,0.8,3.2,.250,0.0,0.0,0,0.8,3.2,.250,.250,0.0,0.6,.000,0.8,3.0,3.8,1.8,0.8,0.2,1.2,1.0,1.6,2011-2012
31,32,Kobe Bryant,SG,33,LAL,12,12,39.7,11.0,25.1,.439,1.4,5.0,.283,9.6,20.1,.477,.467,6.6,7.9,.832,1.3,3.5,4.8,4.3,1.3,0.2,2.8,2.8,30.0,2011-2012
32,33,Alec Burks,SG,20,UTA,4,0,15.8,1.8,7.0,.250,0.0,0.5,.000,1.8,6.5,.269,.250,3.0,3.5,.857,1.3,1.5,2.8,0.8,0.5,0.0,0.8,1.0,6.5,2011-2012
33,34,Caron Butler,SF,31,LAC,10,10,26.8,3.3,9.2,.359,0.8,3.1,.258,2.5,6.1,.410,.402,1.2,1.6,.750,0.4,2.6,3.0,1.0,0.6,0.2,1.6,2.2,8.6,2011-2012
34,35,Jimmy Butler,SG,22,CHI,3,0,1.3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2011-2012
35,36,Andrew Bynum,C,24,LAL,12,12,37.6,6.1,12.8,.477,0.0,0.0,0,6.1,12.8,.477,.477,4.5,5.8,.783,3.8,7.3,11.1,1.5,0.4,3.1,1.3,1.8,16.7,2011-2012
36,37,Brian Cardinal,SF,34,DAL,2,0,4.5,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,2011-2012
37,38,DeMarre Carroll,SF,25,UTA,4,0,18.3,2.3,4.8,.474,0.3,1.3,.200,2.0,3.5,.571,.500,0.0,0.0,0,1.8,2.0,3.8,0.8,0.5,0.3,0.8,2.3,4.8,2011-2012
38,39,Vince Carter,SG,35,DAL,4,0,26.8,3.0,10.3,.293,0.8,2.5,.300,2.3,7.8,.290,.329,1.5,2.0,.750,1.3,4.3,5.5,0.3,1.3,0.5,1.5,2.8,8.3,2011-2012
39,40,Mario Chalmers,PG,25,MIA,23,23,35.6,4.0,9.0,.442,1.4,4.0,.359,2.6,5.0,.509,.522,1.9,2.6,.717,0.5,3.1,3.7,3.9,1.2,0.3,1.8,3.0,11.3,2011-2012
40,41,Tyson Chandler,C,29,NYK,5,5,33.4,2.2,5.0,.440,0.0,0.0,0,2.2,5.0,.440,.440,1.8,3.0,.600,3.6,5.4,9.0,0.8,1.4,1.4,3.0,3.6,6.2,2011-2012
41,42,Earl Clark,PF,24,ORL,5,0,17.6,1.6,3.6,.444,0.0,0.0,0,1.6,3.6,.444,.444,0.8,1.4,.571,1.6,5.0,6.6,0.2,0.4,1.0,0.8,1.2,4.0,2011-2012
42,43,Norris Cole,PG,23,MIA,19,0,8.9,0.6,1.9,.324,0.2,0.6,.250,0.5,1.3,.360,.365,0.4,0.5,.778,0.1,0.5,0.5,0.6,0.4,0.0,0.3,1.3,1.8,2011-2012
43,44,Jason Collins,C,33,ATL,5,4,17.0,1.2,2.2,.545,0.0,0.0,0,1.2,2.2,.545,.545,0.0,0.0,0,0.8,1.6,2.4,0.0,0.2,0.0,2.0,3.2,2.4,2011-2012
44,45,Darren Collison,PG,24,IND,11,0,18.6,3.3,6.4,.514,0.4,1.0,.364,2.9,5.4,.542,.543,1.8,2.1,.870,0.3,1.0,1.3,3.0,1.3,0.0,1.0,1.0,8.7,2011-2012
45,46,Nick Collison,PF,31,OKC,20,0,16.6,1.7,2.6,.647,0.0,0.0,0,1.7,2.6,.647,.647,0.2,0.4,.429,1.5,1.9,3.4,1.0,0.6,0.3,0.6,2.6,3.5,2011-2012
46,47,Mike Conley,PG,24,MEM,7,7,39.6,4.6,10.9,.421,1.6,3.1,.500,3.0,7.7,.389,.493,3.4,4.6,.750,0.6,2.7,3.3,7.1,0.9,0.0,2.3,2.7,14.1,2011-2012
47,48,Daequan Cook,SG,24,OKC,16,0,6.8,0.9,2.3,.378,0.5,1.5,.333,0.4,0.8,.462,.486,0.0,0.1,.000,0.0,0.6,0.6,0.3,0.2,0.0,0.0,0.4,2.3,2011-2012
48,49,Dante Cunningham,PF,24,MEM,7,0,7.0,0.6,1.6,.364,0.0,0.0,0,0.6,1.6,.364,.364,0.0,0.0,0,0.9,0.7,1.6,0.0,0.1,0.3,0.1,0.4,1.1,2011-2012
49,50,Erick Dampier,C,36,ATL,4,0,13.8,1.8,3.3,.538,0.0,0.0,0,1.8,3.3,.538,.538,0.5,0.8,.667,1.8,1.8,3.5,0.0,0.0,0.3,0.8,1.5,4.0,2011-2012
50,51,Marquis Daniels,SG,31,BOS,15,0,6.1,0.7,1.3,.579,0.0,0.1,.000,0.7,1.1,.647,.579,0.5,0.7,.800,0.1,0.6,0.7,0.2,0.1,0.1,0.1,0.9,2.0,2011-2012
