,league,season,rank,player,team,position,salary
0,epl,2014,1,Wayne Rooney,MUN,F,"£15,600,000"
1,epl,2014,2,Sergio Aguero,MCI,F,"£11,440,000"
2,epl,2014,,Yaya Toure,MCI,M,"£11,440,000"
3,epl,2014,4,Diego Costa,CHE,F,"£9,620,000"
4,epl,2014,5,Juan Mata,MUN,M,"£8,320,000"
5,epl,2014,,David Silva,MCI,M,"£8,320,000"
6,epl,2014,7,Cesc Fàbregas,CHE,M,"£8,112,000"
7,epl,2014,8,Eden Hazard,CHE,M,"£7,800,000"
8,epl,2014,,Vincent Kompany,MCI,D,"£7,800,000"
9,epl,2014,,Samir Nasri,MCI,F,"£7,800,000"
10,epl,2014,11,Mesut Ozil,ARS,M,"£7,280,000"
11,epl,2014,,Alexis Sanchez,ARS,F,"£7,280,000"
12,epl,2014,13,Daniel Sturridge,LIV,F,"£6,760,000"
13,epl,2014,14,Danny Welbeck,ARS,F,"£6,500,000"
14,epl,2014,15,Petr Cech,CHE,GK,"£6,240,000"
15,epl,2014,,Thibaut Courtois,CHE,GK,"£6,240,000"
16,epl,2014,17,Joe Hart,MCI,GK,"£6,032,000"
17,epl,2014,18,Ander Herrera,MUN,M,"£5,980,000"
18,epl,2014,19,Aaron Ramsey,ARS,M,"£5,720,000"
19,epl,2014,,Marcos Rojo,MUN,D,"£5,720,000"
20,epl,2014,,Luke Shaw,MUN,D,"£5,720,000"
21,epl,2014,22,Lukas Podolski,ARS,F,"£5,564,000"
22,epl,2014,23,Wilfried Bony,MCI,F,"£5,200,000"
23,epl,2014,,Fernandinho Luis Roza,MCI,M,"£5,200,000"
24,epl,2014,,Eliaquim Mangala,MCI,D,"£5,200,000"
25,epl,2014,,Fernando Reges,MCI,M,"£5,200,000"
26,epl,2014,,Wojciech Szczesny,ARS,GK,"£5,200,000"
27,epl,2014,,Theo Walcott,ARS,F,"£5,200,000"
28,epl,2014,29,Gary Cahill,CHE,D,"£4,680,000"
29,epl,2014,,Andy Carroll,WHU,F,"£4,680,000"
30,epl,2014,,Nemanja Matic,CHE,M,"£4,680,000"
31,epl,2014,,Loic Remy,CHE,F,"£4,680,000"
32,epl,2014,,Jack Wilshere,ARS,M,"£4,680,000"
33,epl,2014,34,Antonio Valencia,MUN,D,"£4,420,000"
34,epl,2014,,Willian da Silva,CHE,M,"£4,420,000"
35,epl,2014,36,Santi Cazorla,ARS,M,"£4,160,000"
36,epl,2014,,Marouane Fellaini,MUN,M,"£4,160,000"
37,epl,2014,,Olivier Giroud,ARS,F,"£4,160,000"
38,epl,2014,,Erik Lamela,TOT,M,"£4,160,000"
39,epl,2014,,Romelu Lukaku,EVE,F,"£4,160,000"
40,epl,2014,,Aaron Ramsey,ARS,M,"£4,160,000"
41,epl,2014,42,Daley Blind,MUN,D,"£3,900,000"
42,epl,2014,,David De Gea,MUN,GK,"£3,900,000"
43,epl,2014,,Mathieu Debuchy,ARS,D,"£3,900,000"
44,epl,2014,,Branislav Ivanovic,CHE,D,"£3,900,000"
45,epl,2014,,Lucas Leiva,LIV,M,"£3,900,000"
46,epl,2014,,Tomas Rosicky,ARS,M,"£3,900,000"
47,epl,2014,48,Jermain Defoe,SHU,F,"£3,640,000"
48,epl,2014,49,Aleksandar Kolarov,MCI,D,"£3,588,000"
49,epl,2014,50,Darren Bent,AVA,F,"£3,380,000"
50,epl,2014,,Mame Diouf,STK,F,"£3,380,000"
51,epl,2014,,Adam Lallana,LIV,M,"£3,380,000"
52,epl,2014,,Dejan Lovren,LIV,D,"£3,380,000"
53,epl,2014,,Per Mertesacker,ARS,D,"£3,380,000"
54,epl,2014,,Alex Oxlade-Chamberlain,ARS,M,"£3,380,000"
55,epl,2014,56,Leighton Baines,EVE,D,"£3,167,996"
56,epl,2014,57,César Azpilicueta,CHE,D,"£3,120,000"
57,epl,2014,,Christian Benteke,AVA,F,"£3,120,000"
58,epl,2014,,Thibaut Courtois,CHE,GK,"£3,120,000"
59,epl,2014,,Adnan Januzaj,MUN,F,"£3,120,000"
60,epl,2014,,Laurent Koscielny,ARS,D,"£3,120,000"
61,epl,2014,,Winston Reid,WHU,D,"£3,120,000"
62,epl,2014,63,Philippe Coutinho,LIV,M,"£2,730,000"
63,epl,2014,64,Hector Bellerin,ARS,D,"£2,600,000"
64,epl,2014,,Harry Kane,TOT,F,"£2,600,000"
65,epl,2014,,Tim Krul,NEW,GK,"£2,600,000"
66,epl,2014,,Nacho Monreal,ARS,D,"£2,600,000"
67,epl,2014,,Victor Moses,CHE,D,"£2,600,000"
68,epl,2014,,Mark Noble,WHU,M,"£2,600,000"
69,epl,2014,70,Ross Barkley,EVE,M,"£2,496,000"
70,epl,2014,71,Kieran Gibbs,ARS,D,"£2,392,000"
71,epl,2014,72,Emre Can,LIV,M,"£2,340,000"
72,epl,2014,,Calum Chambers,ARS,D,"£2,340,000"
73,epl,2014,,Danny Drinkwater,LEI,M,"£2,340,000"
74,epl,2014,,Federico Fazio,TOT,D,"£2,340,000"
75,epl,2014,,Kevin Mirallas,EVE,F,"£2,340,000"
76,epl,2014,,Ryan Shawcross,STK,D,"£2,340,000"
77,epl,2014,78,Federico Fernandez,SWA,D,"£2,236,000"
78,epl,2014,79,Kurt Zouma,CHE,D,"£2,200,000"
79,epl,2014,80,Aiden McGeady,EVE,F,"£2,184,000"
80,epl,2014,81,Alberto Moreno,LIV,D,"£2,080,000"
81,epl,2014,,David Ospina,ARS,GK,"£2,080,000"
82,epl,2014,,Enner Valencia,WHU,F,"£2,080,000"
83,epl,2014,,Siem de Jong,NEW,M,"£2,080,000"
84,epl,2014,85,Seamus Coleman,EVE,D,"£1,976,000"
85,epl,2014,86,Sung-Yeung Ki,SWA,M,"£1,872,000"
86,epl,2014,,Wayne Routledge,SWA,M,"£1,872,000"
87,epl,2014,88,Vurnon Anita,NEW,D,"£1,820,000"
88,epl,2014,,Fraizer Campbell,CRY,F,"£1,820,000"
89,epl,2014,,Jack Colback,NEW,M,"£1,820,000"
90,epl,2014,,Jack Cork,SWA,M,"£1,820,000"
91,epl,2014,,Yoan Gouffran,NEW,M,"£1,820,000"
92,epl,2014,,Lazar Markovic,LIV,F,"£1,820,000"
93,epl,2014,,Emmanuel Rivière,NEW,F,"£1,820,000"
94,epl,2014,,Andrew Surman,BOU,M,"£1,820,000"
95,epl,2014,96,Stephen Ireland,STK,M,"£1,716,000"
96,epl,2014,97,Kyle Naughton,SWA,D,"£1,664,000"
97,epl,2014,98,Phil Bardsley,STK,D,"£1,612,000"
98,epl,2014,99,Joel Campbell,ARS,F,"£1,560,000"
99,epl,2014,,Francis Coquelin,ARS,M,"£1,560,000"
100,epl,2014,,Florin Gardos,SOU,D,"£1,560,000"
101,epl,2014,,Carl Jenkinson,ARS,D,"£1,560,000"
102,epl,2014,,Diafra Sakho,WHU,F,"£1,560,000"
103,epl,2014,,Raheem Sterling,LIV,F,"£1,560,000"
104,epl,2014,105,Callum McManaman,WBA,F,"£1,456,000"
105,epl,2014,,Jordon Mutch,CRY,M,"£1,456,000"
106,epl,2014,,Divock Origi,LIV,F,"£1,456,000"
107,epl,2014,,Maya Yoshida,SOU,D,"£1,456,000"
108,epl,2014,109,Leonardo Ulloa,LEI,F,"£1,404,000"
109,epl,2014,110,Dele Alli,TOT,M,"£1,300,000"
110,epl,2014,,Muhamed Besic,EVE,M,"£1,300,000"
111,epl,2014,,Karl Darlow,NEW,GK,"£1,300,000"
112,epl,2014,,Matty James,LEI,M,"£1,300,000"
113,epl,2014,,Martin Kelly,CRY,D,"£1,300,000"
114,epl,2014,,Arouna Kone,EVE,F,"£1,300,000"
115,epl,2014,,Joe Ledley,CRY,M,"£1,300,000"
116,epl,2014,,Chung-Yong Lee,CRY,F,"£1,300,000"
117,epl,2014,,James McCarthy,EVE,M,"£1,300,000"
118,epl,2014,,Bruno Zuculini,MCI,M,"£1,300,000"
119,epl,2014,120,Brendan Galloway,EVE,D,"£1,196,000"
120,epl,2014,,Mario Pasalic,CHE,M,"£1,196,000"
121,epl,2014,122,Michael Keane,BUR,D,"£1,144,000"
122,epl,2014,123,Joe Cole,AVA,M,"£1,100,000"
123,epl,2014,124,Chuba Akpom,ARS,F,"£1,040,000"
124,epl,2014,,Lewis Baker,CHE,M,"£1,040,000"
125,epl,2014,,Asmir Begovic,STK,GK,"£1,040,000"
126,epl,2014,,George Boyd,BUR,M,"£1,040,000"
127,epl,2014,,Isaiah Brown,CHE,F,"£1,040,000"
128,epl,2014,,Paul Dummett,NEW,D,"£1,040,000"
129,epl,2014,,Zeki Fryers,CRY,D,"£1,040,000"
130,epl,2014,,Dan Gosling,BOU,M,"£1,040,000"
131,epl,2014,,Massadio Haidara,NEW,D,"£1,040,000"
132,epl,2014,,Wayne Hennessey,CRY,GK,"£1,040,000"
133,epl,2014,,Kenneth Omeruo,CHE,D,"£1,040,000"
134,epl,2014,,Andreas Pereira,MUN,M,"£1,040,000"
135,epl,2014,,Joel Robles,EVE,GK,"£1,040,000"
136,epl,2014,,Yaya Sanogo,ARS,F,"£1,040,000"
137,epl,2014,138,Lucas Piazón,CHE,F,"£832,000"
138,epl,2014,139,Kyle Bartley,SWA,D,"£780,000"
139,epl,2014,,Lewis Grabban,NOR,F,"£780,000"
140,epl,2014,,Doneil Henry,WHU,D,"£780,000"
141,epl,2014,,Jamaal Lascelles,NEW,D,"£780,000"
142,epl,2014,,Juan Carlos Paredes,WAT,D,"£780,000"
143,epl,2014,,David Stockdale,BRH,GK,"£780,000"
144,epl,2014,,Guillermo Varela,MUN,D,"£780,000"
145,epl,2014,,Jonny Williams,CRY,M,"£780,000"
146,epl,2014,147,Charlie Daniels,BOU,D,"£676,000"
147,epl,2014,148,Mark Schwarzer,CHE,GK,"£625,291"
148,epl,2014,149,Sam Gallagher,SOU,F,"£624,000"
149,epl,2014,,Curtis Good,NEW,D,"£624,000"
150,epl,2014,,Ben Hamer,LEI,GK,"£624,000"
151,epl,2014,,Adam Smith,BOU,D,"£624,000"
152,epl,2014,153,Christian Atsu,CHE,F,"£520,000"
153,epl,2014,,Artur Boruc,BOU,GK,"£520,000"
154,epl,2014,,Matt Targett,SOU,D,"£520,000"
155,epl,2014,,Callum Wilson,BOU,F,"£520,000"
156,epl,2014,157,Jamal Blackman,CHE,GK,"£416,000"
157,epl,2014,,Chris O'Grady,BRH,F,"£416,000"
158,epl,2014,,Nahki Wells,HDD,F,"£416,000"
159,epl,2014,160,Rohan Ince,BRH,M,"£364,000"
160,epl,2014,,Junior Stanislas,BOU,M,"£364,000"
161,epl,2014,162,Steve Cook,BOU,D,"£312,000"
162,epl,2014,,Cristian Cuevas,CHE,D,"£312,000"
163,epl,2014,,Gedion Zelalem,ARS,M,"£312,000"
164,epl,2014,165,Harry Arter,BOU,M,"£260,000"
165,epl,2014,,Nathaniel Chalobah,CHE,M,"£260,000"
166,epl,2014,,Josh Harrop,MUN,M,"£260,000"
167,epl,2014,,Jordon Ibe,LIV,M,"£260,000"
168,epl,2014,,Josh Sheehan,SWA,M,"£260,000"
169,epl,2014,170,Krystian Bielik,ARS,D,"£208,000"
170,epl,2014,,Harry Bunn,HDD,F,"£208,000"
171,epl,2014,,Kenji Gorre,SWA,F,"£208,000"
172,epl,2014,,Christian Walton,BRH,GK,"£208,000"
173,epl,2014,,Harry Wilson,LIV,M,"£208,000"
174,epl,2014,175,Reece Burke,WHU,D,"£156,000"
175,epl,2014,,Sullay Kaikai,CRY,M,"£156,000"
176,epl,2014,,Tom Lawrence,LEI,F,"£156,000"
177,epl,2014,,Freddie Woodman,NEW,GK,"£156,000"
178,epl,2014,179,Sebastien Pocognoli,WBA,D,"£104,000"
179,epl,2014,,Connor Randall,LIV,D,"£104,000"
180,epl,2014,181,Will Wood,SOU,D,"£41,600"
181,epl,2014,182,Harry Cornick,BOU,M,"£39,000"
182,epl,2014,1,M,,,35
183,epl,2014,2,D,,,30
184,epl,2014,3,F,,,27
185,epl,2014,4,GK,,,8
186,epl,2014,1,ARS,,,23
187,epl,2014,2,CHE,,,14
188,epl,2014,3,MCI,,,11
189,epl,2014,4,MUN,,,10
190,epl,2014,5,LIV,,,8
191,epl,2014,6,EVE,,,6
192,epl,2014,7,NEW,,,6
193,epl,2014,8,SWA,,,5
194,epl,2014,9,STK,,,4
195,epl,2014,10,WHU,,,4
196,epl,2014,11,TOT,,,3
197,epl,2014,12,AVA,,,2
198,epl,2014,13,BOU,,,1
199,epl,2014,14,CRY,,,1
200,epl,2014,15,LEI,,,1
201,epl,2014,16,SHU,,,1
202,epl,2014,1,M,,,35
203,epl,2014,2,D,,,30
204,epl,2014,3,F,,,27
205,epl,2014,4,GK,,,8
206,epl,2014,1,ARS,,,23
207,epl,2014,2,CHE,,,14
208,epl,2014,3,MCI,,,11
209,epl,2014,4,MUN,,,10
210,epl,2014,5,LIV,,,8
211,epl,2014,6,EVE,,,6
212,epl,2014,7,NEW,,,6
213,epl,2014,8,SWA,,,5
214,epl,2014,9,STK,,,4
215,epl,2014,10,WHU,,,4
216,epl,2014,11,TOT,,,3
217,epl,2014,12,AVA,,,2
218,epl,2014,13,BOU,,,1
219,epl,2014,14,CRY,,,1
220,epl,2014,15,LEI,,,1
221,epl,2014,16,SHU,,,1
