,league,season,rank,player,team,position,salary
0,mlb,2017,1,Clayton Kershaw,LAD,SP,"$33,000,000"
1,mlb,2017,2,David Price,BOS,SP,"$30,000,000"
2,mlb,2017,3,Miguel Cabrera,DET,1B,"$28,000,000"
3,mlb,2017,4,Felix Hernandez,SEA,SP,"$26,857,142"
4,mlb,2017,5,Albert Pujols,LAA,DH/1B,"$26,000,000"
5,mlb,2017,6,CC Sabathia,NYY,SP,"$25,000,000"
6,mlb,2017,7,Robinson Canó,SEA,2B,"$24,000,000"
7,mlb,2017,,Zack Greinke,ARI,SP,"$24,000,000"
8,mlb,2017,9,Joe Mauer,MIN,1B,"$23,000,000"
9,mlb,2017,10,Yoenis Céspedes,NYM,CF,"$22,500,000"
10,mlb,2017,,Cole Hamels,TEX,SP,"$22,500,000"
11,mlb,2017,12,Johnny Cueto,SF,SP,"$22,000,000"
12,mlb,2017,,Hanley Ramirez,BOS,DH,"$22,000,000"
13,mlb,2017,,Masahiro Tanaka,NYY,SP,"$22,000,000"
14,mlb,2017,,Joey Votto,CIN,1B,"$22,000,000"
15,mlb,2017,16,Adrián González,LAD,1B,"$21,500,000"
16,mlb,2017,,Jason Heyward,CHC,RF,"$21,500,000"
17,mlb,2017,18,Buster Posey,SF,C,"$21,400,000"
18,mlb,2017,19,Jacoby Ellsbury,NYY,CF,"$21,142,857"
19,mlb,2017,20,Aroldis Chapman,NYY,RP,"$21,000,000"
20,mlb,2017,,Jayson Werth,WSH,LF,"$21,000,000"
21,mlb,2017,22,Matt Cain,SF,RP,"$20,833,334"
22,mlb,2017,23,Freddie Freeman,ATL,1B,"$20,500,000"
23,mlb,2017,24,Shin-Soo Choo,TEX,RF/DH,"$20,000,000"
24,mlb,2017,,Carlos Gonzalez,COL,RF,"$20,000,000"
25,mlb,2017,,Jon Lester,CHC,SP,"$20,000,000"
26,mlb,2017,,Russell Martin,TOR,C,"$20,000,000"
27,mlb,2017,,Rick Porcello,BOS,SP,"$20,000,000"
28,mlb,2017,,Troy Tulowitzki,TOR,SS,"$20,000,000"
29,mlb,2017,,David Wright,NYM,3B,"$20,000,000"
30,mlb,2017,31,Jeff Samardzija,SF,SP,"$19,500,000"
31,mlb,2017,,Adam Wainwright,STL,SP,"$19,500,000"
32,mlb,2017,33,Mike Trout,LAA,CF,"$19,250,000"
33,mlb,2017,34,Homer Bailey,CIN,SP,"$19,000,000"
34,mlb,2017,,Ryan Braun,MIL,LF,"$19,000,000"
35,mlb,2017,36,Hunter Pence,SF,LF,"$18,500,000"
36,mlb,2017,37,Edwin Encarnacion,CLE,DH/1B,"$18,150,000"
37,mlb,2017,38,José Bautista,TOR,RF,"$18,000,000"
38,mlb,2017,,Adrián Beltré,TEX,3B,"$18,000,000"
39,mlb,2017,,Victor Martinez,DET,DH,"$18,000,000"
40,mlb,2017,,Jordan Zimmermann,DET,SP,"$18,000,000"
41,mlb,2017,42,Andre Ethier,LAD,CF,"$17,500,000"
42,mlb,2017,43,Chris Davis,BAL,1B,"$17,000,000"
43,mlb,2017,,Josh Donaldson,TOR,3B,"$17,000,000"
44,mlb,2017,,Wil Myers,SD,RF,"$17,000,000"
45,mlb,2017,46,Dexter Fowler,STL,CF,"$16,500,000"
46,mlb,2017,47,Carlos Beltrán,HOU,DH/OF,"$16,000,000"
47,mlb,2017,,Alex Gordon,KC,LF,"$16,000,000"
48,mlb,2017,,Adam Jones,BAL,CF,"$16,000,000"
49,mlb,2017,,John Lackey,CHC,SP,"$16,000,000"
50,mlb,2017,,Mark Melancon,SF,RP,"$16,000,000"
51,mlb,2017,,Aníbal Sánchez,DET,RP,"$16,000,000"
52,mlb,2017,,Justin Turner,LAD,3B,"$16,000,000"
53,mlb,2017,,Ben Zobrist,CHC,2B,"$16,000,000"
54,mlb,2017,55,Jake Arrieta,CHC,SP,"$15,637,500"
55,mlb,2017,56,Max Scherzer,WSH,SP,"$15,100,000"
56,mlb,2017,57,Elvis Andrus,TEX,SS,"$15,000,000"
57,mlb,2017,,Mike Leake,SEA,SP,"$15,000,000"
58,mlb,2017,,Stephen Strasburg,WSH,SP,"$15,000,000"
59,mlb,2017,60,Giancarlo Stanton,MIA,RF,"$14,500,000"
60,mlb,2017,61,Nelson Cruz,SEA,DH,"$14,000,000"
61,mlb,2017,,Marco Estrada,TOR,SP,"$14,000,000"
62,mlb,2017,,Yulieski Gurriel,HOU,1B,"$14,000,000"
63,mlb,2017,,J.J. Hardy,BAL,SS,"$14,000,000"
64,mlb,2017,,Chase Headley,NYY,3B,"$14,000,000"
65,mlb,2017,,Rich Hill,LAD,SP,"$14,000,000"
66,mlb,2017,,Hisashi Iwakuma,SEA,SP,"$14,000,000"
67,mlb,2017,,Kenley Jansen,LAD,RP,"$14,000,000"
68,mlb,2017,,Andrew McCutchen,PIT,CF,"$14,000,000"
69,mlb,2017,,Yadier Molina,STL,C,"$14,000,000"
70,mlb,2017,,Ryan Zimmerman,WSH,1B,"$14,000,000"
71,mlb,2017,72,Bryce Harper,WSH,RF,"$13,625,000"
72,mlb,2017,73,Clay Buchholz,PHI,SP,"$13,500,000"
73,mlb,2017,,Ubaldo Jiménez,BAL,SP,"$13,500,000"
74,mlb,2017,,Ian Kennedy,KC,SP,"$13,500,000"
75,mlb,2017,,Ervin Santana,MIN,SP,"$13,500,000"
76,mlb,2017,77,Phil Hughes,MIN,RP,"$13,200,000"
77,mlb,2017,78,J.A. Happ,TOR,SP,"$13,000,000"
78,mlb,2017,,Greg Holland,COL,RP,"$13,000,000"
79,mlb,2017,,Matt Holliday,NYY,DH,"$13,000,000"
80,mlb,2017,,Craig Kimbrel,BOS,RP,"$13,000,000"
81,mlb,2017,,Dustin Pedroia,BOS,2B,"$13,000,000"
82,mlb,2017,,Josh Reddick,HOU,RF,"$13,000,000"
83,mlb,2017,84,Matt Garza,MIL,SP,"$12,500,000"
84,mlb,2017,85,Eric Hosmer,KC,1B,"$12,250,000"
85,mlb,2017,86,Madison Bumgarner,SF,SP,"$12,000,000"
86,mlb,2017,,Brett Gardner,NYY,LF,"$12,000,000"
87,mlb,2017,,Gio Gonzalez,WSH,SP,"$12,000,000"
88,mlb,2017,,Daniel Murphy,WSH,2B,"$12,000,000"
89,mlb,2017,,Chris Sale,BOS,SP,"$12,000,000"
