,league,season,rank,player,team,position,salary
0,nba,2012,1,Kobe Bryant,LAL,SF,"$27,849,149"
1,nba,2012,2,Dirk Nowitzki,DAL,PF,"$20,907,128"
2,nba,2012,3,Amar'e Stoudemire,NYK,PF,"$19,948,799"
3,nba,2012,4,Joe Johnson,BKN,SG,"$19,752,645"
4,nba,2012,5,Dwight Howard,LAL,C,"$19,536,360"
5,nba,2012,6,Carmelo Anthony,NYK,SF,"$19,444,504"
6,nba,2012,7,Pau Gasol,LAL,PF,"$19,000,000"
7,nba,2012,8,Chris Paul,LAC,PG,"$17,779,458"
8,nba,2012,9,Chris Bosh,MIA,PF,"$17,545,000"
9,nba,2012,,LeBron James,MIA,PF,"$17,545,000"
10,nba,2012,11,Dwyane Wade,MIA,SG,"$17,182,000"
11,nba,2012,12,Deron Williams,BKN,PG,"$17,177,795"
12,nba,2012,13,Paul Pierce,BOS,SF,"$16,790,345"
13,nba,2012,14,Kevin Durant,OKC,SF,"$16,669,629"
14,nba,2012,15,Zach Randolph,MEM,PF,"$16,500,000"
15,nba,2012,16,Rudy Gay,TOR,SF,"$16,460,538"
16,nba,2012,17,Derrick Rose,CHI,PG,"$16,402,500"
17,nba,2012,18,Andrew Bynum,PHI,C,"$16,100,000"
18,nba,2012,19,Carlos Boozer,CHI,PF,"$15,000,000"
19,nba,2012,,Al Jefferson,UTA,C,"$15,000,000"
20,nba,2012,21,Andre Iguodala,DEN,SF,"$14,968,250"
21,nba,2012,22,Manu Ginobili,SAS,SG,"$14,107,492"
22,nba,2012,23,Marc Gasol,MEM,C,"$13,891,359"
23,nba,2012,24,Eric Gordon,NOH,SG,"$13,668,750"
24,nba,2012,,Roy Hibbert,IND,C,"$13,668,750"
25,nba,2012,,Brook Lopez,BKN,C,"$13,668,750"
26,nba,2012,,Kevin Love,MIN,C,"$13,668,750"
27,nba,2012,,Russell Westbrook,OKC,PG,"$13,668,750"
28,nba,2012,29,Tyson Chandler,NYK,C,"$13,604,188"
29,nba,2012,30,LaMarcus Aldridge,POR,PF,"$13,500,000"
30,nba,2012,31,Emeka Okafor,WAS,C,"$13,490,000"
31,nba,2012,32,Luol Deng,CHI,SF,"$13,305,000"
32,nba,2012,33,Josh Smith,ATL,SF,"$13,200,000"
33,nba,2012,34,Danny Granger,IND,SF,"$13,058,606"
34,nba,2012,35,Andrew Bogut,GSW,C,"$13,000,000"
35,nba,2012,,Nene Hilario,WAS,C,"$13,000,000"
36,nba,2012,37,David Lee,GSW,PF,"$12,744,000"
37,nba,2012,38,Tony Parker,SAS,PG,"$12,500,000"
38,nba,2012,39,Kevin Martin,OKC,SG,"$12,439,675"
39,nba,2012,40,Ben Gordon,CHA,SG,"$12,400,000"
40,nba,2012,41,Al Horford,ATL,C,"$12,000,000"
41,nba,2012,,Kris Humphries,BKN,PF,"$12,000,000"
42,nba,2012,43,Hedo Turkoglu,ORL,SF,"$11,815,850"
43,nba,2012,44,Kevin Garnett,BOS,PF,"$11,566,265"
44,nba,2012,45,Joakim Noah,CHI,C,"$11,300,000"
45,nba,2012,46,Monta Ellis,MIL,SG,"$11,000,000"
46,nba,2012,,Rajon Rondo,BOS,PG,"$11,000,000"
47,nba,2012,48,Corey Maggette,DET,SF,"$10,924,138"
48,nba,2012,49,Nicolas Batum,POR,SF,"$10,825,000"
49,nba,2012,50,Jose Calderon,DET,PG,"$10,561,983"
50,nba,2012,51,DeAndre Jordan,LAC,C,"$10,532,977"
51,nba,2012,52,Richard Jefferson,GSW,SF,"$10,164,000"
52,nba,2012,53,Stephen Jackson,SAS,SF,"$10,059,750"
53,nba,2012,54,Andrea Bargnani,TOR,C,"$10,000,000"
54,nba,2012,,JaVale McGee,DEN,C,"$10,000,000"
55,nba,2012,,David West,IND,PF,"$10,000,000"
56,nba,2012,57,Andrei Kirilenko,MIN,SF,"$9,779,349"
57,nba,2012,58,Gerald Wallace,BKN,SF,"$9,682,435"
58,nba,2012,59,Tim Duncan,SAS,PF,"$9,638,554"
59,nba,2012,60,Danilo Gallinari,DEN,SF,"$9,439,000"
60,nba,2012,61,Andris Biedrins,GSW,C,"$9,000,000"
61,nba,2012,62,Steve Nash,LAL,PG,"$8,900,000"
62,nba,2012,63,Ryan Anderson,NOH,PF,"$8,700,000"
63,nba,2012,64,Shawn Marion,DAL,SF,"$8,692,881"
64,nba,2012,65,Paul Millsap,UTA,PF,"$8,603,633"
65,nba,2012,66,Jameer Nelson,ORL,PG,"$8,600,000"
66,nba,2012,67,Devin Harris,ATL,PG,"$8,500,000"
67,nba,2012,,Rodney Stuckey,DET,PG,"$8,500,000"
68,nba,2012,,Mo Williams,UTA,PG,"$8,500,000"
69,nba,2012,70,Omer Asik,HOU,C,"$8,374,646"
70,nba,2012,,Jeremy Lin,HOU,PG,"$8,374,646"
71,nba,2012,72,Anderson Varejao,CLE,PF,"$8,368,182"
72,nba,2012,73,Kendrick Perkins,OKC,C,"$8,300,531"
73,nba,2012,74,Thaddeus Young,PHI,PF,"$8,289,130"
74,nba,2012,75,Marvin Williams,UTA,PF,"$8,287,500"
75,nba,2012,76,Lamar Odom,LAC,PF,"$8,200,000"
76,nba,2012,77,Jeff Green,BOS,SF,"$8,100,000"
77,nba,2012,78,John Salmons,SAC,SF,"$8,083,000"
78,nba,2012,79,Charlie Villanueva,DET,PF,"$8,060,000"
79,nba,2012,80,Caron Butler,LAC,SF,"$8,000,000"
80,nba,2012,,George Hill,IND,PG,"$8,000,000"
81,nba,2012,,Chris Kaman,DAL,C,"$8,000,000"
82,nba,2012,,Tyrus Thomas,CHA,PF,"$8,000,000"
83,nba,2012,84,Ersan Ilyasova,MIL,PF,"$7,900,000"
84,nba,2012,85,Arron Afflalo,ORL,SG,"$7,750,000"
85,nba,2012,86,Marcus Thornton,SAC,SG,"$7,525,000"
86,nba,2012,87,Mike Conley,MEM,PG,"$7,505,786"
87,nba,2012,88,Goran Dragic,PHX,PG,"$7,500,000"
88,nba,2012,89,DeSagana Diop,CHA,C,"$7,372,200"
89,nba,2012,,Beno Udrih,ORL,PG,"$7,372,200"
90,nba,2012,91,Trevor Ariza,WAS,SF,"$7,258,960"
91,nba,2012,,Marcin Gortat,PHX,C,"$7,258,960"
92,nba,2012,,Metta World Peace,LAL,SF,"$7,258,960"
93,nba,2012,94,Blake Griffin,LAC,PF,"$7,226,892"
94,nba,2012,95,Tayshaun Prince,MEM,SF,"$6,764,045"
95,nba,2012,96,Samuel Dalembert,MIL,C,"$6,698,565"
96,nba,2012,97,Drew Gooden,MIL,PF,"$6,687,400"
97,nba,2012,,Al Harrington,ORL,PF,"$6,687,400"
98,nba,2012,99,Wesley Matthews,POR,SG,"$6,505,320"
99,nba,2012,100,Spencer Hawes,PHI,PF,"$6,500,000"
100,nba,2012,101,Glen Davis,ORL,PF,"$6,400,000"
101,nba,2012,102,Landry Fields,TOR,SF,"$6,250,000"
102,nba,2012,103,J.J. Redick,MIL,SG,"$6,190,000"
103,nba,2012,104,Francisco Garcia,HOU,SG,"$6,100,000"
104,nba,2012,105,Luke Walton,CLE,SF,"$6,091,363"
105,nba,2012,106,Brandon Bass,BOS,PF,"$6,000,000"
106,nba,2012,,Channing Frye,PHX,PF,"$6,000,000"
107,nba,2012,,Amir Johnson,TOR,PF,"$6,000,000"
108,nba,2012,109,Wilson Chandler,DEN,SF,"$5,930,414"
109,nba,2012,110,John Wall,WAS,PG,"$5,915,880"
110,nba,2012,111,James Harden,HOU,SG,"$5,820,416"
111,nba,2012,112,Mike Miller,MIA,SG,"$5,800,000"
112,nba,2012,113,Jason Richardson,PHI,SG,"$5,799,625"
113,nba,2012,114,Michael Beasley,PHX,SF,"$5,750,000"
114,nba,2012,,Kyle Lowry,TOR,PG,"$5,750,000"
115,nba,2012,116,Nick Young,PHI,SG,"$5,600,000"
116,nba,2012,117,Chuck Hayes,SAC,PF,"$5,486,250"
117,nba,2012,118,Jarrett Jack,GSW,PG,"$5,400,000"
118,nba,2012,119,Kyrie Irving,CLE,PG,"$5,375,760"
119,nba,2012,120,Evan Turner,PHI,SF,"$5,293,080"
120,nba,2012,121,Tyreke Evans,SAC,SG,"$5,251,825"
121,nba,2012,122,Jason Thompson,SAC,PF,"$5,250,000"
122,nba,2012,123,Zaza Pachulia,ATL,C,"$5,248,750"
123,nba,2012,124,Anthony Davis,NOH,PF,"$5,144,280"
124,nba,2012,125,Brandon Roy,MIN,SG,"$5,100,000"
125,nba,2012,126,Jamal Crawford,LAC,SG,"$5,000,000"
126,nba,2012,,Richard Hamilton,CHI,SG,"$5,000,000"
127,nba,2012,,Kyle Korver,ATL,SG,"$5,000,000"
128,nba,2012,,Courtney Lee,BOS,SG,"$5,000,000"
129,nba,2012,,Jason Maxiell,DET,PF,"$5,000,000"
130,nba,2012,,Andre Miller,DEN,PG,"$5,000,000"
131,nba,2012,,Ramon Sessions,CHA,PG,"$5,000,000"
132,nba,2012,,Jason Terry,BOS,SG,"$5,000,000"
133,nba,2012,,Louis Williams,ATL,SG,"$5,000,000"
134,nba,2012,135,Robin Lopez,NOH,C,"$4,899,293"
135,nba,2012,136,Nikola Pekovic,MIN,C,"$4,837,200"
136,nba,2012,137,Derrick Williams,MIN,PF,"$4,809,840"
137,nba,2012,138,Luc Richard Mbah a Moute,MIL,PF,"$4,794,192"
138,nba,2012,139,Daniel Gibson,CLE,SG,"$4,792,332"
139,nba,2012,140,Derrick Favors,UTA,PF,"$4,753,320"
140,nba,2012,141,Michael Kidd-Gilchrist,CHA,SF,"$4,602,720"
141,nba,2012,142,Linas Kleiza,TOR,SF,"$4,600,000"
142,nba,2012,143,Marcus Camby,NYK,C,"$4,590,338"
143,nba,2012,144,Boris Diaw,SAS,C,"$4,500,000"
144,nba,2012,,Jonas Jerebko,DET,PF,"$4,500,000"
145,nba,2012,146,Jose Barea,MIN,PG,"$4,493,500"
146,nba,2012,147,Enes Freedom,UTA,C,"$4,319,280"
147,nba,2012,148,Wesley Johnson,PHX,SF,"$4,285,560"
148,nba,2012,149,Jared Dudley,PHX,SF,"$4,250,000"
149,nba,2012,150,Marreese Speights,CLE,PF,"$4,200,000"
150,nba,2012,151,Luis Scola,PHX,PF,"$4,148,510"
151,nba,2012,152,Bradley Beal,WAS,SG,"$4,133,280"
152,nba,2012,153,Dorell Wright,PHI,SF,"$4,106,000"
153,nba,2012,154,Udonis Haslem,MIA,PF,"$4,060,000"
154,nba,2012,155,Steve Novak,NYK,SF,"$4,054,055"
155,nba,2012,156,O.J. Mayo,DAL,SG,"$4,020,000"
156,nba,2012,157,Chauncey Billups,LAC,PG,"$4,000,000"
157,nba,2012,,Steve Blake,LAL,PG,"$4,000,000"
158,nba,2012,,Mario Chalmers,MIA,PG,"$4,000,000"
159,nba,2012,,J.J Hickson,POR,PF,"$4,000,000"
160,nba,2012,,Carl Landry,GSW,PF,"$4,000,000"
161,nba,2012,,Ian Mahinmi,IND,C,"$4,000,000"
162,nba,2012,,Anthony Morrow,DAL,SG,"$4,000,000"
