,league,season,rank,player,team,position,salary
0,nba,2022,1,Stephen Curry,GSW,PG,38.87%
1,nba,2022,2,LeBron James,LAL,PF,35.97%
2,nba,2022,3,Kevin Durant,PHX,SF,35.68%
3,nba,2022,4,Bradley Beal,WAS,SG,35.00%
4,nba,2022,5,Giannis Antetokounmpo,MIL,PF,34.36%
5,nba,2022,,Paul George,LAC,SG,34.36%
6,nba,2022,,Kawhi Leonard,LAC,SF,34.36%
7,nba,2022,,Damian Lillard,POR,PG,34.36%
8,nba,2022,9,Klay Thompson,GSW,SG,32.83%
9,nba,2022,10,Kyrie Irving,DAL,PG,31.59%
10,nba,2022,11,Rudy Gobert,MIN,C,30.87%
11,nba,2022,12,Anthony Davis,LAL,C,30.72%
12,nba,2022,13,Khris Middleton,MIL,SF,30.69%
13,nba,2022,14,Jimmy Butler,MIA,SF,30.45%
14,nba,2022,15,Tobias Harris,PHI,PF,30.43%
15,nba,2022,16,Luka Doncic,DAL,PG,30.00%
16,nba,2022,,Zach LaVine,CHI,SG,30.00%
17,nba,2022,,Trae Young,ATL,PG,30.00%
18,nba,2022,19,Pascal Siakam,TOR,PF,28.67%
19,nba,2022,,Ben Simmons,BKN,PG,28.67%
20,nba,2022,21,Myles Turner,IND,C,28.36%
21,nba,2022,22,Jrue Holiday,MIL,PG,27.75%
22,nba,2022,23,Devin Booker,PHX,SG,27.36%
23,nba,2022,,Kristaps Porzingis,WAS,PF,27.36%
24,nba,2022,,Karl-Anthony Towns,MIN,C,27.36%
25,nba,2022,26,Joel Embiid,PHI,C,27.19%
26,nba,2022,,Nikola Jokic,DEN,C,27.19%
27,nba,2022,,Andrew Wiggins,GSW,SF,27.19%
28,nba,2022,29,C.J. McCollum,NOP,SG,26.96%
29,nba,2022,30,James Harden,PHI,SG,26.69%
30,nba,2022,31,Brandon Ingram,NOP,SF,25.60%
31,nba,2022,,Jamal Murray,DEN,PG,25.60%
32,nba,2022,33,D'Angelo Russell,LAL,PG,25.38%
33,nba,2022,34,Deandre Ayton,PHX,C,25.00%
34,nba,2022,,Shai Gilgeous-Alexander,OKC,PG,25.00%
35,nba,2022,,Donovan Mitchell,CLE,SG,25.00%
36,nba,2022,,Michael Porter Jr.,DEN,SF,25.00%
37,nba,2022,38,Bam Adebayo,MIA,C,24.55%
38,nba,2022,,De'Aaron Fox,SAC,PG,24.55%
39,nba,2022,,Jayson Tatum,BOS,PF,24.55%
40,nba,2022,41,Gordon Hayward,CHA,SF,24.32%
41,nba,2022,42,Jaylen Brown,BOS,SF,24.08%
42,nba,2022,43,Jaren Jackson Jr.,MEM,PF,23.41%
43,nba,2022,44,Chris Paul,PHX,PG,22.97%
44,nba,2022,45,Kyle Lowry,MIA,PG,22.91%
45,nba,2022,46,Jalen Brunson,NYK,PG,22.43%
46,nba,2022,47,DeMar DeRozan,CHI,SF,22.08%
47,nba,2022,48,Al Horford,BOS,C,21.43%
48,nba,2022,49,Julius Randle,NYK,PF,21.14%
49,nba,2022,50,Draymond Green,GSW,PF,20.87%
50,nba,2022,51,John Collins,ATL,PF,19.00%
51,nba,2022,52,Mike Conley,MIN,PG,18.34%
52,nba,2022,53,Malcolm Brogdon,BOS,PG,18.28%
53,nba,2022,54,Anfernee Simons,POR,SG,18.05%
54,nba,2022,55,Nikola Vucevic,CHI,C,17.79%
55,nba,2022,56,Terry Rozier,CHA,PG,17.38%
56,nba,2022,57,Fred VanVleet,TOR,PG,17.18%
57,nba,2022,58,Buddy Hield,IND,SG,17.13%
58,nba,2022,59,Domantas Sabonis,SAC,PF,17.06%
59,nba,2022,60,Mikal Bridges,BKN,SF,16.98%
60,nba,2022,61,Jerami Grant,POR,PF,16.95%
61,nba,2022,62,Aaron Gordon,DEN,PF,16.73%
62,nba,2022,63,Jarrett Allen,CLE,C,16.17%
63,nba,2022,64,Tim Hardaway Jr.,DAL,SG,15.85%
64,nba,2022,65,Eric Gordon,LAC,SG,15.83%
65,nba,2022,66,Bojan Bogdanovic,DET,SF,15.81%
66,nba,2022,67,Lonzo Ball,CHI,PG,15.80%
67,nba,2022,68,Spencer Dinwiddie,BKN,PG,15.77%
68,nba,2022,69,Caris LeVert,CLE,SG,15.20%
69,nba,2022,70,Clint Capela,ATL,C,15.13%
70,nba,2022,71,Joe Harris,BKN,SG,15.08%
71,nba,2022,72,Harrison Barnes,SAC,PF,14.84%
72,nba,2022,73,Bogdan Bogdanovic,ATL,SG,14.56%
73,nba,2022,,Evan Fournier,NYK,SG,14.56%
74,nba,2022,75,Steven Adams,MEM,C,14.50%
75,nba,2022,76,Marcus Smart,BOS,PG,14.12%
76,nba,2022,77,Jonathan Isaac,ORL,PF,14.07%
77,nba,2022,78,OG Anunoby,TOR,SF,14.04%
78,nba,2022,79,Gary Trent Jr.,TOR,SG,13.97%
79,nba,2022,80,Derrick White,BOS,PG,13.86%
80,nba,2022,81,Dejounte Murray,ATL,PG,13.81%
81,nba,2022,82,Mitchell Robinson,NYK,C,13.78%
82,nba,2022,83,Duncan Robinson,MIA,SF,13.67%
83,nba,2022,84,Norman Powell,LAC,SG,13.55%
84,nba,2022,85,Markelle Fultz,ORL,PG,13.34%
85,nba,2022,,Collin Sexton,UTA,PG,13.34%
86,nba,2022,87,Lauri Markkanen,UTA,PF,13.32%
87,nba,2022,88,Marcus Morris Sr.,LAC,SF,13.24%
88,nba,2022,89,Davis Bertans,DAL,PF,12.94%
89,nba,2022,90,Jusuf Nurkic,POR,C,12.64%
90,nba,2022,91,Malik Beasley,LAL,SG,12.58%
91,nba,2022,92,Luguentz Dort,OKC,SG,12.36%
92,nba,2022,93,Tyus Jones,MEM,PG,12.13%
93,nba,2022,94,Jonas Valanciunas,NOP,C,11.89%
94,nba,2022,95,Derrick Rose,NYK,PG,11.74%
95,nba,2022,96,Kevin Huerter,SAC,SG,11.73%
96,nba,2022,97,Christian Wood,DAL,C,11.58%
97,nba,2022,98,Wendell Carter Jr.,ORL,C,11.44%
98,nba,2022,99,Kentavious Caldwell-Pope,DEN,SG,11.33%
99,nba,2022,100,Brook Lopez,MIL,C,11.25%
100,nba,2022,101,Doug McDermott,SAS,SF,11.12%
101,nba,2022,102,Luke Kennard,MEM,SG,11.12%
102,nba,2022,103,Zion Williamson,NOP,PF,10.95%
103,nba,2022,104,Jordan Clarkson,UTA,SG,10.79%
104,nba,2022,105,Gary Harris,ORL,SG,10.51%
105,nba,2022,,Kyle Kuzma,WAS,SF,10.51%
106,nba,2022,107,Josh Hart,NYK,SG,10.48%
107,nba,2022,108,Dorian Finney-Smith,BKN,PF,10.46%
108,nba,2022,109,Kelly Olynyk,UTA,PF,10.36%
109,nba,2022,110,Chris Boucher,TOR,PF,10.26%
110,nba,2022,111,Kelly Oubre Jr.,CHA,SF,10.19%
111,nba,2022,112,Marvin Bagley III,DET,PF,10.11%
112,nba,2022,113,Robert Covington,LAC,PF,9.95%
113,nba,2022,114,Josh Richardson,NOP,SG,9.86%
114,nba,2022,115,Ja Morant,MEM,PG,9.80%
115,nba,2022,116,Devonte' Graham,SAS,PG,9.34%
116,nba,2022,117,Dillon Brooks,MEM,SF,9.22%
117,nba,2022,118,Richaun Holmes,SAC,C,9.07%
118,nba,2022,119,Dwight Powell,DAL,C,8.96%
119,nba,2022,120,Paolo Banchero,ORL,PF,8.94%
120,nba,2022,121,R.J. Barrett,NYK,SG,8.82%
121,nba,2022,122,Nicolas Batum,LAC,SF,8.77%
122,nba,2022,,Bobby Portis,MIL,PF,8.77%
123,nba,2022,124,Anthony Edwards,MIN,SG,8.68%
124,nba,2022,125,Robert Williams III,BOS,C,8.66%
125,nba,2022,126,Cade Cunningham,DET,PG,8.53%
126,nba,2022,127,P.J. Tucker,PHI,PF,8.48%
127,nba,2022,128,Mohamed Bamba,LAL,C,8.33%
128,nba,2022,129,Talen Horton-Tucker,UTA,SG,8.30%
129,nba,2022,130,Jae Crowder,MIL,SF,8.24%
130,nba,2022,131,Ivica Zubac,LAC,C,8.19%
131,nba,2022,132,Reggie Bullock,DAL,SF,8.10%
132,nba,2022,,Alec Burks,DET,SG,8.10%
133,nba,2022,134,Chet Holmgren,OKC,C,8.00%
134,nba,2022,135,De'Andre Hunter,ATL,SF,7.95%
135,nba,2022,136,Larry Nance Jr.,NOP,PF,7.82%
136,nba,2022,137,James Wiseman,DET,C,7.77%
137,nba,2022,138,Landry Shamet,PHX,SG,7.68%
138,nba,2022,139,Malik Monk,SAC,SG,7.66%
139,nba,2022,140,Jalen Green,HOU,SG,7.64%
140,nba,2022,141,Jakob Poeltl,TOR,C,7.60%
141,nba,2022,142,Nicolas Claxton,BKN,C,7.56%
142,nba,2022,143,Dario Saric,OKC,PF,7.47%
143,nba,2022,144,Royce O'Neale,BKN,SF,7.44%
144,nba,2022,145,Monte Morris,WAS,PG,7.38%
145,nba,2022,146,Mason Plumlee,LAC,C,7.34%
146,nba,2022,147,Alex Caruso,CHI,SG,7.30%
147,nba,2022,148,Maxi Kleber,DAL,PF,7.28%
148,nba,2022,149,Grayson Allen,MIL,SG,7.22%
149,nba,2022,150,Darius Garland,CLE,PG,7.21%
150,nba,2022,151,Jabari Smith Jr.,HOU,PF,7.18%
151,nba,2022,152,Isaiah Hartenstein,NYK,C,7.16%
152,nba,2022,153,Kyle Anderson,MIN,PF,7.10%
153,nba,2022,154,Victor Oladipo,MIA,SG,7.08%
154,nba,2022,155,Daniel Theis,IND,C,7.03%
155,nba,2022,156,LaMelo Ball,CHA,PG,6.97%
156,nba,2022,157,Seth Curry,BKN,SG,6.87%
157,nba,2022,158,Evan Mobley,CLE,PF,6.86%
158,nba,2022,159,Gary Payton II,GSW,PG,6.71%
159,nba,2022,160,De'Anthony Melton,PHI,SG,6.67%
160,nba,2022,161,T.J. McConnell,IND,PG,6.55%
161,nba,2022,162,Keegan Murray,SAC,PF,6.48%
162,nba,2022,163,Thaddeus Young,TOR,PF,6.47%
163,nba,2022,164,Delon Wright,WAS,PG,6.31%
164,nba,2022,165,Patrick Williams,CHI,PF,6.29%
165,nba,2022,166,Scottie Barnes,TOR,PF,6.18%
166,nba,2022,167,Cedi Osman,CLE,SF,6.01%
167,nba,2022,168,Coby White,CHI,PG,6.00%
168,nba,2022,169,Zach Collins,SAS,C,5.94%
169,nba,2022,170,Jaden Ivey,DET,SG,5.86%
170,nba,2022,171,Taurean Prince,MIN,PF,5.74%
171,nba,2022,172,Jae’Sean Tate,HOU,SF,5.71%
172,nba,2022,173,Isaac Okoro,CLE,SG,5.69%
173,nba,2022,174,Kevon Looney,GSW,C,5.66%
174,nba,2022,,Cody Martin,CHA,SF,5.66%
175,nba,2022,176,Jalen Suggs,ORL,SG,5.60%
176,nba,2022,177,Jaxson Hayes,NOP,C,5.50%
177,nba,2022,178,Khem Birch,SAS,C,5.39%
178,nba,2022,179,Bennedict Mathurin,IND,SG,5.33%
179,nba,2022,180,Bruce Brown Jr.,DEN,SG,5.24%
180,nba,2022,,Danilo Gallinari,BOS,PF,5.24%
181,nba,2022,,Joe Ingles,MIL,SF,5.24%
182,nba,2022,,Caleb Martin,MIA,SF,5.24%
183,nba,2022,,Patty Mills,BKN,PG,5.24%
184,nba,2022,,Lonnie Walker IV,LAL,SG,5.24%
185,nba,2022,186,Onyeka Okongwu,ATL,C,5.17%
186,nba,2022,187,Josh Giddey,OKC,SG,5.08%
187,nba,2022,188,Rui Hachimura,LAL,PF,5.07%
188,nba,2022,189,Rudy Gay,UTA,PF,5.00%
189,nba,2022,190,Shaedon Sharpe,POR,SG,4.86%
190,nba,2022,191,Cameron Payne,PHX,PG,4.85%
191,nba,2022,,Otto Porter Jr.,TOR,SF,4.85%
192,nba,2022,193,Cam Reddish,POR,SF,4.82%
193,nba,2022,194,Cameron Johnson,BKN,SF,4.76%
194,nba,2022,195,Ricky Rubio,CLE,PG,4.73%
195,nba,2022,196,Killian Hayes,DET,PG,4.72%
196,nba,2022,197,PJ Washington,CHA,PF,4.70%
197,nba,2022,198,Jonathan Kuminga,GSW,PF,4.64%
198,nba,2022,199,Pat Connaughton,MIL,SG,4.63%
199,nba,2022,200,Tyler Herro,MIA,SG,4.63%
200,nba,2022,201,Romeo Langford,SAS,SG,4.56%
201,nba,2022,202,Dyson Daniels,NOP,PG,4.45%
202,nba,2022,203,JaVale McGee,DAL,C,4.42%
203,nba,2022,204,Obi Toppin,NYK,PF,4.33%
204,nba,2022,205,Franz Wagner,ORL,SF,4.25%
205,nba,2022,206,Kendrick Nunn,WAS,PG,4.25%
206,nba,2022,207,Hamidou Diallo,DET,SG,4.21%
207,nba,2022,208,Cory Joseph,DET,PG,4.17%
208,nba,2022,,Garrett Temple,NOP,SG,4.17%
209,nba,2022,210,Torrey Craig,PHX,SF,4.14%
210,nba,2022,211,Jeremy Sochan,SAS,PF,4.09%
211,nba,2022,212,Nickeil Alexander-Walker,MIN,SG,4.05%
212,nba,2022,213,Furkan Korkmaz,PHI,SG,4.04%
213,nba,2022,214,Deni Avdija,WAS,SF,3.98%
214,nba,2022,215,Davion Mitchell,SAC,PG,3.91%
215,nba,2022,216,Johnny Davis,WAS,SG,3.89%
216,nba,2022,217,Ishmael Smith,DEN,PG,3.82%
217,nba,2022,218,Jalen Smith,IND,PF,3.78%
218,nba,2022,219,Ziaire Williams,MEM,SF,3.71%
219,nba,2022,220,Ousmane Dieng,OKC,SF,3.70%
220,nba,2022,221,Donte DiVincenzo,GSW,SG,3.64%
221,nba,2022,,Jeff Green,DEN,PF,3.64%
222,nba,2022,223,Devin Vassell,SAS,SG,3.59%
223,nba,2022,224,Matisse Thybulle,POR,SG,3.54%
224,nba,2022,225,Jarred Vanderbilt,LAL,PF,3.54%
225,nba,2022,226,James Bouknight,CHA,SG,3.53%
226,nba,2022,227,Brandon Clarke,MEM,PF,3.51%
227,nba,2022,228,Jalen Williams,OKC,SF,3.51%
228,nba,2022,229,Grant Williams,BOS,PF,3.48%
229,nba,2022,230,Darius Bazley,PHX,PF,3.45%
230,nba,2022,231,Tyrese Haliburton,IND,PG,3.41%
231,nba,2022,232,Nassir Little,POR,SF,3.37%
232,nba,2022,233,Jalen Duren,DET,C,3.34%
233,nba,2022,234,Danuel House Jr.,PHI,SF,3.32%
234,nba,2022,235,Justise Winslow,POR,SF,3.31%
235,nba,2022,236,Dylan Windler,CLE,SF,3.27%
236,nba,2022,237,Kira Lewis Jr.,NOP,PG,3.24%
237,nba,2022,238,Terence Davis,SAC,SG,3.23%
238,nba,2022,,George Hill,IND,PG,3.23%
239,nba,2022,240,Chris Duarte,IND,SF,3.18%
240,nba,2022,241,Alex Len,SAC,C,3.17%
241,nba,2022,242,Ochai Agbaji,UTA,SF,3.17%
242,nba,2022,243,Jordan Poole,GSW,SG,3.16%
243,nba,2022,244,Keldon Johnson,SAS,SF,3.13%
244,nba,2022,245,Aaron Nesmith,IND,SF,3.08%
245,nba,2022,246,Moses Moody,GSW,SG,3.02%
246,nba,2022,247,Mark Williams,CHA,C,3.01%
247,nba,2022,248,Cole Anthony,ORL,PG,2.92%
248,nba,2022,249,Corey Kispert,WAS,SF,2.87%
249,nba,2022,250,A.J. Griffin,ATL,SF,2.86%
250,nba,2022,251,Mike Muscala,BOS,C,2.83%
251,nba,2022,252,Georges Niang,PHI,PF,2.80%
252,nba,2022,253,Chuma Okeke,ORL,PF,2.78%
253,nba,2022,,Isaiah Stewart,DET,C,2.78%
254,nba,2022,255,Amir Coffey,LAC,SG,2.75%
255,nba,2022,256,Alperen Sengun,HOU,C,2.73%
256,nba,2022,257,Tari Eason,HOU,PF,2.72%
257,nba,2022,258,Aleksej Pokusevski,OKC,PF,2.64%
258,nba,2022,259,Kevin Porter Jr.,HOU,PG,2.60%
259,nba,2022,260,Trey Murphy III,NOP,SF,2.59%
260,nba,2022,261,Simone Fontecchio,UTA,SF,2.59%
261,nba,2022,262,Andre Drummond,CHI,C,2.59%
262,nba,2022,,Derrick Jones Jr.,CHI,SF,2.59%
263,nba,2022,264,Dalen Terry,CHI,SG,2.58%
264,nba,2022,265,Kevin Love,MIA,PF,2.52%
265,nba,2022,266,Josh Green,DAL,SG,2.51%
266,nba,2022,267,Jake LaRavia,MEM,PF,2.46%
267,nba,2022,268,Tre Mann,OKC,PG,2.46%
268,nba,2022,269,Kevin Knox,POR,SF,2.43%
269,nba,2022,270,Saddiq Bey,ATL,SF,2.39%
270,nba,2022,271,Malaki Branham,SAS,SG,2.37%
271,nba,2022,272,Kai Jones,CHA,PF,2.35%
272,nba,2022,273,Precious Achiuwa,TOR,PF,2.30%
273,nba,2022,274,Christian Braun,DEN,SG,2.27%
274,nba,2022,275,Jordan Nwora,IND,SF,2.26%
275,nba,2022,276,Jalen Johnson,ATL,SF,2.26%
276,nba,2022,277,Tyrese Maxey,PHI,PG,2.21%
277,nba,2022,278,Bruno Fernando,ATL,C,2.20%
278,nba,2022,279,Walker Kessler,UTA,C,2.18%
279,nba,2022,280,Keon Johnson,POR,SG,2.17%
280,nba,2022,281,Trey Lyles,SAC,PF,2.12%
281,nba,2022,282,Zeke Nnaji,DEN,PF,2.12%
282,nba,2022,283,Charles Bassey,SAS,C,2.10%
283,nba,2022,284,David Roddy,MEM,PF,2.09%
284,nba,2022,285,Isaiah Jackson,IND,PF,2.08%
285,nba,2022,286,MarJon Beauchamp,MIL,SG,2.01%
286,nba,2022,287,Usman Garuba,HOU,PF,2.00%
287,nba,2022,288,Montrezl Harrell,PHI,C,1.99%
288,nba,2022,289,Willy Hernangomez,NOP,C,1.98%
289,nba,2022,290,Blake Wesley,SAS,SG,1.93%
290,nba,2022,291,Josh Christopher,HOU,SG,1.92%
291,nba,2022,292,Immanuel Quickley,NYK,PG,1.87%
292,nba,2022,293,Wendell Moore Jr.,MIN,SG,1.87%
293,nba,2022,294,John Konchar,MEM,SG,1.86%
294,nba,2022,295,Damian Jones,UTA,C,1.86%
295,nba,2022,296,Quentin Grimes,NYK,SG,1.84%
296,nba,2022,297,Andrew Nembhard,IND,PG,1.81%
297,nba,2022,298,Nikola Jovic,MIA,SF,1.81%
298,nba,2022,299,Payton Pritchard,BOS,PG,1.81%
299,nba,2022,300,Vlatko Cancar,DEN,PF,1.81%
300,nba,2022,301,Patrick Baldwin Jr.,GSW,SF,1.80%
301,nba,2022,302,TyTy Washington Jr.,HOU,PG,1.79%
302,nba,2022,303,Nah'Shon Hyland,LAC,PG,1.78%
303,nba,2022,304,Bol Bol,ORL,PF,1.78%
304,nba,2022,305,Peyton Watson,DEN,SG,1.77%
305,nba,2022,306,Udoka Azubuike,UTA,C,1.76%
306,nba,2022,307,Jaden McDaniels,MIN,PF,1.75%
307,nba,2022,308,Jordan McLaughlin,MIN,PG,1.75%
308,nba,2022,309,Malachi Flynn,TOR,PG,1.74%
309,nba,2022,310,Cameron Thomas,BKN,SG,1.73%
310,nba,2022,311,Luke Kornet,BOS,C,1.73%
311,nba,2022,312,Desmond Bane,MEM,SG,1.72%
312,nba,2022,313,Jaden Springer,PHI,PG,1.72%
313,nba,2022,314,Day'Ron Sharpe,BKN,C,1.71%
314,nba,2022,315,Jevon Carter,MIL,PG,1.70%
315,nba,2022,316,Santi Aldama,MEM,C,1.69%
316,nba,2022,317,Frank Ntilikina,DAL,PG,1.65%
317,nba,2022,318,Danny Green,CLE,SF,1.62%
318,nba,2022,,Caleb Houstan,ORL,SF,1.62%
319,nba,2022,,Garrison Mathews,ATL,SG,1.62%
320,nba,2022,,Jeremiah Robinson-Earl,OKC,PF,1.62%
321,nba,2022,,Jaylin Williams,OKC,C,1.62%
322,nba,2022,,Kenrich Williams,OKC,PF,1.62%
323,nba,2022,324,Shake Milton,PHI,SG,1.62%
324,nba,2022,325,Sviatoslav Mykhailiuk,CHA,SG,1.59%
325,nba,2022,,Edmond Sumner,BKN,SG,1.59%
326,nba,2022,327,Daniel Gafford,WAS,C,1.56%
327,nba,2022,,Terance Mann,LAC,SG,1.56%
328,nba,2022,,Jalen McDaniels,PHI,SF,1.56%
329,nba,2022,,Jaylen Nowell,MIN,SG,1.56%
330,nba,2022,,Naz Reid,MIN,C,1.56%
331,nba,2022,,Dean Wade,CLE,PF,1.56%
332,nba,2022,333,Lindy Waters III,OKC,SF,1.56%
333,nba,2022,334,Chimezie Metu,SAC,C,1.55%
334,nba,2022,335,Thanasis Antetokounmpo,MIL,SF,1.52%
335,nba,2022,,Keita Bates-Diop,SAS,SF,1.52%
336,nba,2022,,Wenyen Gabriel,LAL,PF,1.52%
337,nba,2022,,Moritz Wagner,ORL,C,1.52%
338,nba,2022,339,Oshae Brissett,IND,SF,1.49%
339,nba,2022,340,Bismack Biyombo,PHX,C,1.48%
340,nba,2022,,Troy Brown Jr.,LAL,SG,1.48%
341,nba,2022,,Thomas Bryant,DEN,C,1.48%
342,nba,2022,,Matthew Dellavedova,SAC,PG,1.48%
343,nba,2022,,Drew Eubanks,POR,C,1.48%
344,nba,2022,,Taj Gibson,WAS,C,1.48%
345,nba,2022,,Anthony Gill,WAS,PF,1.48%
346,nba,2022,,JaMychal Green,GSW,PF,1.48%
347,nba,2022,,Blake Griffin,BOS,C,1.48%
348,nba,2022,,Udonis Haslem,MIA,PF,1.48%
349,nba,2022,,Aaron Holiday,ATL,PG,1.48%
350,nba,2022,,Andre Iguodala,GSW,SF,1.48%
351,nba,2022,,Isaiah Joe,OKC,SG,1.48%
352,nba,2022,,DeAndre Jordan,DEN,C,1.48%
353,nba,2022,,Frank Kaminsky,HOU,C,1.48%
354,nba,2022,,Nathan Knight,MIN,PF,1.48%
355,nba,2022,,Damion Lee,PHX,SG,1.48%
356,nba,2022,,Robin Lopez,CLE,C,1.48%
357,nba,2022,,Wesley Matthews,MIL,SG,1.48%
358,nba,2022,,Rodney McGruder,DET,SG,1.48%
359,nba,2022,,Markieff Morris,DAL,PF,1.48%
360,nba,2022,,Raul Neto,CLE,PG,1.48%
361,nba,2022,,Josh Okogie,PHX,SG,1.48%
362,nba,2022,,Theo Pinson,DAL,SG,1.48%
363,nba,2022,,Austin Rivers,MIN,SG,1.48%
364,nba,2022,,Dennis Schröder,LAL,PG,1.48%
365,nba,2022,,Dennis Smith Jr.,CHA,PG,1.48%
366,nba,2022,,Juan Toscano-Anderson,UTA,SF,1.48%
367,nba,2022,,T.J. Warren,PHX,SF,1.48%
368,nba,2022,,Yuta Watanabe,BKN,SF,1.48%
369,nba,2022,370,Javonte Green,CHI,SG,1.47%
370,nba,2022,,Max Strus,MIA,SG,1.47%
371,nba,2022,,Gabe Vincent,MIA,PG,1.47%
372,nba,2022,373,Herb Jones,NOP,SF,1.44%
373,nba,2022,374,Tre Jones,SAS,PG,1.44%
374,nba,2022,,Naji Marshall,NOP,SF,1.44%
375,nba,2022,,Kenyon Martin Jr.,HOU,SF,1.44%
376,nba,2022,,Paul Reed,PHI,C,1.44%
377,nba,2022,,Nick Richards,CHA,C,1.44%
378,nba,2022,,Lamar Stevens,CLE,SF,1.44%
379,nba,2022,,Xavier Tillman,MEM,C,1.44%
380,nba,2022,381,Haywood Highsmith,MIA,F,1.42%
381,nba,2022,,Omer Yurtseven,MIA,C,1.42%
382,nba,2022,383,Kessler Edwards,SAC,SF,1.32%
383,nba,2022,,Sam Hauser,BOS,SF,1.32%
384,nba,2022,,Jericho Sims,NYK,C,1.32%
385,nba,2022,386,Isaiah Todd,WAS,PF,1.27%
386,nba,2022,387,Jose Alvarado,NOP,PG,1.26%
387,nba,2022,,Dalano Banton,TOR,PG,1.26%
388,nba,2022,,Brandon Boston Jr,LAC,SG,1.26%
389,nba,2022,,Ayo Dosunmu,CHI,PG,1.26%
390,nba,2022,,Vit Krejci,ATL,PG,1.26%
391,nba,2022,,Jock Landale,PHX,C,1.26%
392,nba,2022,,Isaiah Livers,DET,SF,1.26%
393,nba,2022,,Miles McBride,NYK,PG,1.26%
394,nba,2022,,Daishen Nix,HOU,PG,1.26%
395,nba,2022,,Jason Preston,LAC,PG,1.26%
396,nba,2022,,Austin Reaves,LAL,SG,1.26%
397,nba,2022,,Marko Simonovic,CHI,C,1.26%
398,nba,2022,,JT Thor,CHA,PF,1.26%
399,nba,2022,,Trendon Watford,POR,PF,1.26%
400,nba,2022,,Aaron Wiggins,OKC,SG,1.26%
401,nba,2022,402,Christian Koloko,TOR,C,1.21%
402,nba,2022,403,Bryce McGowens,CHA,SG,0.87%
403,nba,2022,404,Max Christie,LAL,SG,0.82%
404,nba,2022,,Jaden Hardy,DAL,SG,0.82%
405,nba,2022,,Tyrese Martin,ATL,SF,0.82%
406,nba,2022,,Josh Minott,MIN,SF,0.82%
407,nba,2022,,Ryan Rollins,GSW,SG,0.82%
408,nba,2022,,Jabari Walker,POR,SF,0.82%
409,nba,2022,410,Kenneth Lofton Jr.,MEM,PF,0.81%
410,nba,2022,411,Jordan Goodwin,WAS,PG,0.73%
411,nba,2022,412,Sam Merrill,CLE,SG,0.69%
412,nba,2022,413,Kris Dunn,UTA,PG,0.60%
413,nba,2022,414,Michael Carter-Williams,ORL,PG,0.53%
414,nba,2022,415,Gorgui Dieng,SAS,C,0.50%
415,nba,2022,416,Boban Marjanovic,HOU,C,0.49%
416,nba,2022,417,Goga Bitadze,ORL,C,0.48%
417,nba,2022,,James Johnson,IND,PF,0.48%
418,nba,2022,419,Dewayne Dedmon,PHI,C,0.47%
419,nba,2022,,Reggie Jackson,DEN,PG,0.47%
420,nba,2022,,Terrence Ross,PHX,SF,0.47%
421,nba,2022,422,Justin Holiday,DAL,SG,0.46%
422,nba,2022,423,Joe Wieskamp,TOR,SF,0.44%
423,nba,2022,424,P.J. Dozier,SAC,PG,0.44%
424,nba,2022,425,Cody Zeller,MIA,C,0.42%
425,nba,2022,426,Patrick Beverley,CHI,PG,0.41%
426,nba,2022,,Admiral Schofield,ORL,SF,0.41%
427,nba,2022,428,Russell Westbrook,LAC,PG,0.40%
428,nba,2022,429,RJ Hampton,DET,PG,0.39%
429,nba,2022,430,Ishmail Wainright,PHX,SF,0.38%
430,nba,2022,431,Luka Samanic,UTA,PF,0.35%
431,nba,2022,432,Will Barton,TOR,SG,0.35%
432,nba,2022,433,Isaiah Roby,NYK,PF,0.32%
433,nba,2022,434,Goran Dragic,MIL,PG,0.32%
434,nba,2022,435,Carlik Jones,CHI,PG,0.29%
435,nba,2022,,Sandro Mamukelashvili,SAS,C,0.29%
436,nba,2022,437,DaQuan Jeffries,NYK,SG,0.24%
437,nba,2022,438,Meyers Leonard,MIL,C,0.23%
438,nba,2022,439,Eugene Omoruyi,DET,SF,0.22%
439,nba,2022,440,Anthony Lamb,GSW,SF,0.20%
440,nba,2022,441,D.J. Augustin,HOU,PG,0.15%
441,nba,2022,442,Xavier Cooks,WAS,PF,0.11%
442,nba,2022,443,Vernon Carey Jr.,UTA,C,0.08%
443,nba,2022,444,Jeenathan Williams,POR,SG,0.04%
