,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
0,1,Precious Achiuwa,C,25,NYK,8,0,4.3,0.8,1.8,.429,0.0,0.1,.000,0.8,1.6,.462,.429,0.3,0.5,.500,0.4,0.8,1.1,0.0,0.1,0.0,0.1,0.3,1.8
1,2,Steven Adams,C,31,HOU,7,0,22.1,1.7,2.9,.600,0.0,0.0,,1.7,2.9,.600,.600,2.3,4.3,.533,3.3,3.3,6.6,0.6,0.4,1.1,0.7,1.0,5.7
2,3,Bam Adebayo,C,27,MIA,4,4,38.3,7.0,16.0,.438,1.8,5.3,.333,5.3,10.8,.488,.492,1.8,2.8,.636,4.0,7.0,11.0,4.3,1.0,0.3,3.0,2.3,17.5
3,4,Santi Aldama,PF,24,MEM,4,1,30.5,5.3,11.0,.477,2.5,6.0,.417,2.8,5.0,.550,.591,0.0,0.0,,0.5,5.5,6.0,1.8,0.0,0.3,1.3,1.8,13.0
4,5,Nickeil Alexander-Walker,SG,26,MIN,15,0,20.7,2.9,7.5,.389,1.5,4.2,.349,1.5,3.3,.440,.487,1.0,1.1,.882,0.5,1.3,1.8,2.3,0.4,0.3,1.5,1.6,8.3
5,6,Jarrett Allen,C,26,CLE,9,9,29.0,4.9,6.8,.721,0.0,0.0,,4.9,6.8,.721,.721,3.7,3.9,.943,2.3,6.1,8.4,1.3,1.4,0.9,1.9,1.7,13.4
6,7,Kyle Anderson,SF,31,MIA,2,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0
7,8,Giannis Antetokounmpo,PF,30,MIL,5,5,37.6,12.0,19.8,.606,0.2,1.0,.200,11.8,18.8,.628,.611,8.8,12.6,.698,3.8,11.6,15.4,6.6,1.0,1.0,4.6,2.4,33.0
8,9,Cole Anthony,PG,24,ORL,5,0,10.2,0.8,2.8,.286,0.0,1.2,.000,0.8,1.6,.500,.286,0.6,0.8,.750,0.6,0.8,1.4,1.2,0.0,0.2,1.8,2.4,2.2
9,10,OG Anunoby,PF,27,NYK,18,18,39.2,5.7,13.7,.417,2.3,6.7,.339,3.4,7.0,.492,.500,2.6,3.2,.810,1.3,3.3,4.6,1.3,2.0,1.2,1.7,2.7,16.3
