,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
0,1,Arron Afflalo,SG,26,DEN,7,7,229,7.0,17.2,.405,0.9,4.6,.200,6.0,12.5,.481,2.8,3.5,.800,1.2,4.6,5.8,4.4,1.2,0.5,2.1,3.2,17.6,,102,111
1,2,Blake Ahearn,PG,27,UTA,3,0,8,13.1,19.6,.667,6.5,6.5,1.000,6.5,13.1,.500,0.0,0.0,,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,32.6,,182,120
2,3,Cole Aldrich,C,23,OKC,5,0,25,8.5,19.1,.444,0.0,0.0,,8.5,19.1,.444,4.2,8.5,.500,10.6,17.0,27.6,0.0,0.0,0.0,0.0,6.4,21.2,,118,107
3,4,Lavoy Allen,PF,22,PHI,12,1,236,7.8,14.0,.557,0.0,0.0,,7.8,14.0,.557,1.6,2.8,.583,4.8,8.7,13.6,0.7,2.3,2.5,1.1,6.9,17.2,,116,95
4,5,Ray Allen*,SG,36,BOS,18,10,616,5.9,14.8,.395,2.5,8.2,.304,3.4,6.7,.507,2.8,4.0,.711,0.7,5.9,6.6,1.6,1.5,0.2,1.5,3.6,17.0,,99,102
5,6,Tony Allen,SG,30,MEM,7,7,170,5.8,14.5,.400,0.0,1.6,.000,5.8,12.9,.450,3.9,5.5,.706,2.6,4.5,7.1,1.6,2.9,2.3,3.2,6.8,15.5,,91,99
6,7,Lou Amundson,PF,29,IND,11,0,94,7.0,13.4,.522,0.0,0.0,,7.0,13.4,.522,1.7,3.5,.500,3.5,9.9,13.4,1.2,1.2,2.9,2.3,9.3,15.7,,103,98
7,8,James Anderson,SG,22,SAS,8,0,31,6.7,15.1,.444,3.3,6.7,.500,3.3,8.4,.400,1.7,3.3,.500,0.0,8.4,8.4,5.0,1.7,0.0,0.0,1.7,18.4,,124,104
8,9,Ryan Anderson,PF,23,ORL,5,5,172,4.8,14.2,.341,3.9,9.7,.400,1.0,4.5,.214,1.9,2.3,.857,2.9,4.5,7.4,1.3,1.0,0.6,2.9,7.1,15.5,,95,110
9,10,Carmelo Anthony*,SF,27,NYK,5,5,204,14.1,33.6,.419,1.1,4.9,.222,13.0,28.7,.453,8.4,11.1,.756,3.5,7.6,11.1,3.0,1.6,0.3,3.8,5.7,37.6,,103,110
10,11,Joel Anthony,C,29,MIA,17,1,329,2.8,4.8,.586,0.0,0.0,,2.8,4.8,.586,3.3,4.1,.800,3.6,5.5,9.1,0.3,0.8,2.7,1.3,6.8,8.9,,131,103
11,12,Gilbert Arenas,PG,30,MEM,6,0,23,4.8,19.0,.250,0.0,9.5,.000,4.8,9.5,.500,0.0,0.0,,0.0,2.4,2.4,2.4,0.0,0.0,2.4,14.3,9.5,,57,108
12,13,Ömer Aşık,C,25,CHI,6,3,128,3.0,6.0,.500,0.0,0.0,,3.0,6.0,.500,2.6,7.2,.353,3.4,8.5,11.9,3.4,0.4,4.3,3.4,6.0,8.5,,84,96
13,14,Jeff Ayres,C,24,IND,4,0,9,6.1,18.2,.333,0.0,0.0,,6.1,18.2,.333,0.0,0.0,,0.0,12.1,12.1,0.0,0.0,0.0,0.0,12.1,12.1,,76,102
14,15,Kelenna Azubuike,SG,28,DAL,1,0,5,10.6,31.8,.333,10.6,10.6,1.000,0.0,21.2,.000,0.0,0.0,,10.6,0.0,10.6,0.0,10.6,0.0,10.6,0.0,31.8,,83,95
15,16,Leandro Barbosa,SG,29,IND,11,0,223,6.6,17.9,.370,0.7,4.9,.150,5.9,13.0,.453,1.5,2.9,.500,1.2,4.6,5.9,3.4,1.2,0.2,3.2,5.6,15.4,,83,104
16,17,Matt Barnes,SF,31,LAL,11,0,185,4.7,17.2,.271,1.5,9.0,.161,3.2,8.1,.393,0.6,1.2,.500,2.6,7.9,10.5,4.7,2.9,1.5,4.4,8.4,11.3,,70,106
17,18,Brandon Bass,PF,26,BOS,20,20,608,7.3,15.7,.463,0.0,0.0,,7.3,15.7,.463,5.3,5.8,.922,2.3,7.1,9.4,1.3,1.3,0.9,1.3,4.5,19.9,,111,101
18,19,Shane Battier,SF,33,MIA,23,16,768,3.8,9.9,.379,3.0,7.8,.382,0.8,2.1,.367,0.9,1.1,.813,1.1,4.2,5.3,1.9,1.6,1.0,1.1,4.9,11.4,,112,104
19,20,Rodrigue Beaubois,PG,23,DAL,2,0,12,0.0,8.8,.000,0.0,4.4,.000,0.0,4.4,.000,0.0,0.0,,0.0,4.4,4.4,8.8,0.0,0.0,4.4,4.4,0.0,,33,116
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
21,21,Mike Bibby,PG,33,NYK,5,1,118,4.2,10.8,.391,3.3,8.0,.412,0.9,2.8,.333,0.9,1.4,.667,1.4,8.4,9.8,6.1,0.5,0.0,1.9,3.3,12.6,,118,113
22,22,DeJuan Blair,PF,22,SAS,10,0,76,11.6,18.4,.630,0.0,0.0,,11.6,18.4,.630,2.0,4.1,.500,4.8,10.9,15.7,1.4,2.0,0.7,0.7,6.8,25.3,,128,100
23,23,Steve Blake,PG,31,LAL,12,0,306,4.6,10.9,.419,3.2,7.6,.419,1.4,3.3,.421,0.9,1.2,.714,1.4,4.6,6.0,4.7,1.4,0.4,2.6,3.7,13.2,,109,113
24,24,Eric Bledsoe,PG,22,LAC,11,0,189,10.6,18.0,.587,0.9,2.0,.429,9.7,16.0,.607,2.9,4.6,.625,3.4,4.0,7.4,6.6,3.7,1.1,4.3,6.6,24.9,,114,105
25,25,Matt Bonner,PF,31,SAS,13,0,165,3.1,10.1,.313,2.5,7.2,.348,0.6,2.8,.222,0.9,1.6,.600,0.6,7.2,7.9,2.8,0.6,1.3,0.9,7.6,9.8,,98,105
26,26,Carlos Boozer,PF,30,CHI,6,6,200,10.4,24.5,.422,0.0,0.0,,10.4,24.5,.422,1.4,1.9,.714,2.7,13.4,16.1,4.9,1.4,0.5,6.3,5.4,22.1,,79,95
27,27,Chris Bosh*,PF,27,MIA,14,10,439,9.1,18.4,.493,0.9,1.6,.538,8.2,16.8,.489,5.3,6.5,.827,4.5,9.1,13.5,1.0,0.7,1.7,2.5,2.5,24.3,,115,102
28,28,Avery Bradley,PG,21,BOS,10,10,248,5.5,15.0,.368,1.1,4.8,.227,4.4,10.1,.435,2.6,4.0,.667,0.7,3.7,4.4,1.8,1.8,1.3,2.2,4.4,14.8,,84,102
29,29,Elton Brand,C,32,PHI,13,13,356,7.0,15.1,.465,0.0,0.0,,7.0,15.1,.465,3.0,4.9,.625,3.4,6.2,9.6,1.1,1.7,3.0,1.1,5.5,17.1,,105,97
30,30,Corey Brewer,SF,25,DEN,7,0,116,10.5,24.7,.426,2.7,9.2,.300,7.8,15.6,.500,2.7,3.7,.750,2.7,3.7,6.4,2.7,3.2,0.9,0.9,5.0,26.6,,113,107
31,31,Ronnie Brewer,SG,26,CHI,5,0,83,2.6,10.5,.250,0.0,0.0,,2.6,10.5,.250,0.0,2.0,.000,2.6,9.8,12.5,5.9,2.6,0.7,3.9,3.3,5.3,,59,95
32,32,Kobe Bryant*,SG,33,LAL,12,12,476,14.9,34.0,.439,1.9,6.8,.283,13.0,27.2,.477,8.9,10.7,.832,1.8,4.7,6.6,5.9,1.8,0.2,3.8,3.7,40.7,,109,112
33,33,Alec Burks,SG,20,UTA,4,0,63,5.8,23.2,.250,0.0,1.7,.000,5.8,21.6,.269,9.9,11.6,.857,4.1,5.0,9.1,2.5,1.7,0.0,2.5,3.3,21.6,,89,114
34,34,Caron Butler,SF,31,LAC,10,10,268,6.6,18.5,.359,1.6,6.2,.258,5.0,12.3,.410,2.4,3.2,.750,0.8,5.2,6.0,2.0,1.2,0.4,3.2,4.4,17.3,,82,110
35,35,Jimmy Butler,SG,22,CHI,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,,,106
36,36,Andrew Bynum,C,24,LAL,12,12,451,8.7,18.3,.477,0.0,0.0,,8.7,18.3,.477,6.4,8.2,.783,5.5,10.4,15.9,2.1,0.6,4.4,1.9,2.5,23.9,,118,107
37,37,Brian Cardinal,SF,34,DAL,2,0,9,5.9,11.8,.500,5.9,5.9,1.000,0.0,5.9,.000,0.0,0.0,,0.0,17.7,17.7,0.0,0.0,0.0,0.0,0.0,17.7,,149,110
38,38,DeMarre Carroll,SF,25,UTA,4,0,73,6.4,13.6,.474,0.7,3.6,.200,5.7,10.0,.571,0.0,0.0,,5.0,5.7,10.7,2.1,1.4,0.7,2.1,6.4,13.6,,103,113
39,39,Vince Carter*,SG,35,DAL,4,0,107,5.9,20.3,.293,1.5,4.9,.300,4.5,15.3,.290,3.0,4.0,.750,2.5,8.4,10.9,0.5,2.5,1.0,3.0,5.4,16.3,,76,108
40,40,Mario Chalmers,PG,25,MIA,23,23,819,6.1,13.8,.442,2.2,6.1,.359,3.9,7.7,.509,2.9,4.0,.717,0.8,4.8,5.6,6.0,1.9,0.4,2.8,4.6,17.3,,110,103
41,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
42,41,Tyson Chandler,C,29,NYK,5,5,167,3.6,8.3,.440,0.0,0.0,,3.6,8.3,.440,3.0,5.0,.600,6.0,8.9,14.9,1.3,2.3,2.3,5.0,6.0,10.2,,84,106
43,42,Earl Clark,PF,24,ORL,5,0,88,5.0,11.3,.444,0.0,0.0,,5.0,11.3,.444,2.5,4.4,.571,5.0,15.7,20.8,0.6,1.3,3.1,2.5,3.8,12.6,,94,98
44,43,Norris Cole,PG,23,MIA,19,0,170,3.8,11.9,.324,1.0,3.8,.250,2.9,8.0,.360,2.2,2.9,.778,0.3,2.9,3.2,3.8,2.2,0.0,1.6,7.7,10.9,,92,104
45,44,Jason Collins,C,33,ATL,5,4,85,3.9,7.1,.545,0.0,0.0,,3.9,7.1,.545,0.0,0.0,,2.6,5.1,7.7,0.0,0.6,0.0,6.4,10.3,7.7,,59,100
46,45,Darren Collison,PG,24,IND,11,0,205,9.6,18.6,.514,1.1,2.9,.364,8.5,15.7,.542,5.3,6.1,.870,0.8,2.9,3.7,8.8,3.7,0.0,2.9,2.9,25.6,,123,101
47,46,Nick Collison,PF,31,OKC,20,0,332,5.3,8.1,.647,0.0,0.0,,5.3,8.1,.647,0.5,1.1,.429,4.8,5.9,10.7,3.0,1.9,0.8,1.9,8.1,11.0,,126,109
48,47,Mike Conley,PG,24,MEM,7,7,277,6.3,15.0,.421,2.2,4.3,.500,4.2,10.7,.389,4.7,6.3,.750,0.8,3.8,4.5,9.9,1.2,0.0,3.2,3.8,19.6,,115,106
49,48,Daequan Cook,SG,24,OKC,16,0,109,6.8,18.0,.378,3.9,11.7,.333,2.9,6.3,.462,0.0,1.0,.000,0.0,4.4,4.4,1.9,1.5,0.0,0.0,3.4,17.5,,103,112
50,49,Dante Cunningham,PF,24,MEM,7,0,49,4.5,12.3,.364,0.0,0.0,,4.5,12.3,.364,0.0,0.0,,6.7,5.6,12.3,0.0,1.1,2.2,1.1,3.4,8.9,,94,103
51,50,Erick Dampier,C,36,ATL,4,0,55,6.9,12.9,.538,0.0,0.0,,6.9,12.9,.538,2.0,3.0,.667,6.9,6.9,13.9,0.0,0.0,1.0,3.0,6.0,15.9,,104,100
52,51,Marquis Daniels,SG,31,BOS,15,0,92,6.5,11.3,.579,0.0,1.2,.000,6.5,10.1,.647,4.8,5.9,.800,0.6,5.3,5.9,1.8,1.2,0.6,1.2,7.7,17.8,,123,102
53,52,Baron Davis,PG,32,NYK,4,4,97,6.3,13.1,.478,2.3,8.0,.286,4.0,5.1,.778,2.8,2.8,1.000,0.0,1.7,1.7,7.4,0.0,0.0,7.4,8.5,17.6,,93,118
54,53,Glen Davis,PF,26,ORL,5,5,190,11.4,26.0,.438,0.0,0.0,,11.4,26.0,.438,5.0,6.4,.773,6.7,6.7,13.4,1.2,0.9,1.7,2.6,2.9,27.7,,100,107
55,54,Luol Deng,SF,26,CHI,6,6,228,8.6,18.9,.456,1.9,5.3,.364,6.7,13.6,.491,1.0,1.7,.571,1.9,10.0,12.0,2.2,1.2,2.2,2.4,2.4,20.1,,97,96
56,55,Boris Diaw,PF,29,SAS,14,14,346,5.4,10.5,.514,1.4,2.7,.500,4.1,7.8,.519,0.9,1.2,.750,4.2,6.8,11.0,5.3,1.7,0.6,2.3,4.4,13.1,,121,104
57,56,Keyon Dooling,SG,31,BOS,20,0,212,5.4,12.4,.438,2.8,7.2,.393,2.6,5.2,.500,0.5,0.8,.667,0.5,3.4,3.9,3.6,1.5,1.0,0.8,7.7,14.2,,113,102
58,57,Toney Douglas,PG,25,NYK,1,0,8,6.9,6.9,1.000,0.0,0.0,,6.9,6.9,1.000,0.0,0.0,,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,13.8,,203,119
