,league,season,rank,player,team,position,salary
0,nfl,2017,1,Joe Flacco,BAL,QB,"$24,550,000"
1,nfl,2017,2,Carson Palmer,ARI,QB,"$24,125,000"
2,nfl,2017,3,Kirk Cousins,WAS,QB,"$23,943,600"
3,nfl,2017,4,Matt Ryan,ATL,QB,"$23,750,000"
4,nfl,2017,5,Justin Houston,KC,ED/OLB,"$22,100,000"
5,nfl,2017,6,Aaron Rodgers,GB,QB,"$20,300,000"
6,nfl,2017,,Ryan Tannehill,MIA,QB,"$20,300,000"
7,nfl,2017,8,Cam Newton,CAR,QB,"$20,166,666"
8,nfl,2017,9,Josh Norman,WAS,CB,"$20,000,000"
9,nfl,2017,10,Von Miller,DEN,ED/OLB,"$19,900,000"
10,nfl,2017,11,Eli Manning,NYG,QB,"$19,700,000"
11,nfl,2017,12,Andrew Luck,IND,QB,"$19,400,000"
12,nfl,2017,13,Ndamukong Suh,MIA,DL/DT,"$19,100,000"
13,nfl,2017,14,Drew Brees,NO,QB,"$19,000,000"
14,nfl,2017,15,Ben Roethlisberger,PIT,QB,"$18,200,000"
15,nfl,2017,16,Sam Bradford,MIN,QB,"$18,000,000"
16,nfl,2017,,DeAndre Hopkins,HOU,WR,"$18,000,000"
17,nfl,2017,,Philip Rivers,LAC,QB,"$18,000,000"
18,nfl,2017,,Muhammad Wilkerson,NYJ,DL/DE,"$18,000,000"
19,nfl,2017,20,Dez Bryant,DAL,WR,"$17,000,000"
20,nfl,2017,21,Alex Smith,KC,QB,"$16,900,000"
21,nfl,2017,22,Trumaine Johnson,LAR,CB,"$16,742,400"
22,nfl,2017,23,Matthew Stafford,DET,QB,"$16,500,000"
23,nfl,2017,24,Olivier Vernon,NYG,ED/DE,"$16,000,000"
24,nfl,2017,25,Larry Fitzgerald,ARI,WR,"$15,850,000"
25,nfl,2017,26,Derek Carr,OAK,QB,"$15,731,691"
26,nfl,2017,27,Andy Dalton,CIN,QB,"$15,700,000"
27,nfl,2017,28,Malik Jackson,JAX,DL/DT,"$15,500,000"
28,nfl,2017,29,Clay Matthews Jr.,GB,ED/OLB,"$15,075,000"
29,nfl,2017,30,Janoris Jenkins,NYG,CB,"$15,000,000"
30,nfl,2017,31,Tavon Austin,LAR,WR,"$14,977,116"
31,nfl,2017,32,Trent Williams,WAS,LT,"$14,963,380"
32,nfl,2017,33,Melvin Ingram,LAC,LB/OLB,"$14,875,000"
33,nfl,2017,34,Russell Wilson,SEA,QB,"$14,626,666"
34,nfl,2017,35,J.J. Watt,HOU,DL/DE,"$14,500,000"
35,nfl,2017,36,Cordy Glenn,BUF,LT,"$14,200,000"
36,nfl,2017,37,Tom Brady,NE,QB,"$14,000,000"
37,nfl,2017,,Mike Glennon,CHI,QB,"$14,000,000"
38,nfl,2017,39,Julio Jones,ATL,WR,"$13,900,000"
39,nfl,2017,40,Gerald McCoy,TB,DL/DT,"$13,750,000"
40,nfl,2017,,Joe Thomas,CLE,LT,"$13,750,000"
41,nfl,2017,42,Patrick Peterson,ARI,CB,"$13,706,965"
42,nfl,2017,43,Richard Sherman,SEA,CB,"$13,631,000"
43,nfl,2017,44,Antonio Brown,PIT,WR,"$13,618,333"
44,nfl,2017,45,A.J. Green,CIN,WR,"$13,500,000"
45,nfl,2017,,Kelechi Osemele,OAK,G,"$13,500,000"
46,nfl,2017,47,Anthony Castonzo,IND,LT,"$12,800,000"
47,nfl,2017,48,Ezekiel Ansah,DET,ED/DE,"$12,734,000"
48,nfl,2017,49,Randall Cobb,GB,WR,"$12,656,250"
49,nfl,2017,50,DeSean Jackson,TB,WR,"$12,500,000"
50,nfl,2017,51,Luke Kuechly,CAR,LB/ILB,"$12,363,324"
51,nfl,2017,52,Jason Witten,DAL,TE,"$12,262,000"
52,nfl,2017,53,Joel Bitonio,CLE,G,"$12,237,813"
53,nfl,2017,54,Le'Veon Bell,PIT,RB,"$12,120,000"
54,nfl,2017,55,Jamie Collins,CLE,LB/OLB,"$12,100,000"
55,nfl,2017,,Greg Olsen,CAR,TE,"$12,100,000"
56,nfl,2017,57,Cameron Jordan,NO,ED/DE,"$12,047,000"
57,nfl,2017,58,Demaryius Thomas,DEN,WR,"$12,033,333"
58,nfl,2017,59,Ryan Kerrigan,WAS,ED/OLB,"$11,700,000"
59,nfl,2017,60,Jordy Nelson,GB,WR,"$11,550,000"
60,nfl,2017,61,Aqib Talib,DEN,CB,"$11,352,941"
61,nfl,2017,62,Jurrell Casey,TEN,DL/DT,"$11,288,750"
62,nfl,2017,63,Nate Solder,NE,LT,"$11,166,418"
63,nfl,2017,64,Brandon Linder,JAX,C,"$11,070,900"
64,nfl,2017,65,Joe Staley,SF,LT,"$11,056,250"
65,nfl,2017,66,Maurkice Pouncey,PIT,C,"$11,051,000"
66,nfl,2017,67,David DeCastro,PIT,G,"$11,050,000"
67,nfl,2017,68,Mark Barron,LAR,LB/ILB,"$11,000,000"
68,nfl,2017,,Michael Brockers,LAR,DL/DT,"$11,000,000"
69,nfl,2017,70,Devin McCourty,NE,FS,"$10,935,000"
70,nfl,2017,71,Michael Bennett,SEA,ED/DE,"$10,768,750"
