,league,season,rank,player,team,position,salary
0,nhl,2013,1,Alex Ovechkin,WAS,LW,"$9,538,462"
1,nhl,2013,2,Sidney Crosby,PIT,C,"$8,700,000"
2,nhl,2013,,Evgeni Malkin,PIT,C,"$8,700,000"
3,nhl,2013,4,Corey Perry,ANA,RW,"$8,625,000"
4,nhl,2013,5,Ryan Getzlaf,ANA,C,"$8,250,000"
5,nhl,2013,,Eric Staal,CAR,C,"$8,250,000"
6,nhl,2013,7,Shea Weber,NSH,D,"$7,857,143"
7,nhl,2013,8,Rick Nash,NYR,LW,"$7,800,000"
8,nhl,2013,9,Zach Parise,MIN,LW,"$7,538,462"
9,nhl,2013,,Ryan Suter,MIN,D,"$7,538,462"
10,nhl,2013,11,Dany Heatley,MIN,LW,"$7,500,000"
11,nhl,2013,,Steven Stamkos,TBL,C,"$7,500,000"
12,nhl,2013,13,Brian Campbell,FLA,D,"$7,142,875"
13,nhl,2013,14,Drew Doughty,LAK,D,"$7,000,000"
14,nhl,2013,,Tuukka Rask,BOS,G,"$7,000,000"
15,nhl,2013,,Pekka Rinne,NSH,G,"$7,000,000"
16,nhl,2013,,Alexander Semin,CAR,RW,"$7,000,000"
17,nhl,2013,,Jason Spezza,OTT,C,"$7,000,000"
18,nhl,2013,,Joe Thornton,SJS,C,"$7,000,000"
19,nhl,2013,20,Zdeno Chara,BOS,D,"$6,916,667"
20,nhl,2013,21,Patrick Marleau,SJS,LW,"$6,900,000"
21,nhl,2013,22,Henrik Lundqvist,NYR,G,"$6,875,000"
22,nhl,2013,23,Anze Kopitar,LAK,C,"$6,800,000"
23,nhl,2013,24,Mikko Koivu,MIN,C,"$6,750,000"
24,nhl,2013,25,Nicklas Backstrom,WAS,C,"$6,700,000"
25,nhl,2013,,Pavel Datsyuk,DET,C,"$6,700,000"
26,nhl,2013,27,Jay Bouwmeester,STL,D,"$6,680,000"
27,nhl,2013,28,Dan Boyle,SJS,D,"$6,666,667"
28,nhl,2013,,Brad Richards,NYR,C,"$6,666,667"
29,nhl,2013,30,Paul Stastny,COL,C,"$6,600,000"
30,nhl,2013,31,Erik Karlsson,OTT,D,"$6,500,000"
31,nhl,2013,,Dion Phaneuf,TOR,D,"$6,500,000"
32,nhl,2013,,Alex Pietrangelo,STL,D,"$6,500,000"
33,nhl,2013,,Carey Price,MTL,G,"$6,500,000"
34,nhl,2013,35,Patrick Kane,CHI,RW,"$6,300,000"
35,nhl,2013,,Jonathan Toews,CHI,C,"$6,300,000"
36,nhl,2013,,Cam Ward,CAR,G,"$6,300,000"
37,nhl,2013,38,Daniel Sedin,VAN,LW,"$6,100,000"
38,nhl,2013,,Henrik Sedin,VAN,C,"$6,100,000"
39,nhl,2013,40,Mike Green,WAS,D,"$6,083,333"
40,nhl,2013,,Henrik Zetterberg,DET,LW,"$6,083,333"
41,nhl,2013,42,Michael Cammalleri,CGY,LW,"$6,000,000"
42,nhl,2013,,Jordan Eberle,EDM,RW,"$6,000,000"
43,nhl,2013,,Taylor Hall,EDM,LW,"$6,000,000"
44,nhl,2013,,Milan Lucic,BOS,LW,"$6,000,000"
45,nhl,2013,,Jordan Staal,CAR,C,"$6,000,000"
46,nhl,2013,,Kimmo Timonen,PHI,D,"$6,000,000"
47,nhl,2013,48,Kari Lehtonen,DAL,G,"$5,900,000"
48,nhl,2013,,Patrick Sharp,CHI,LW,"$5,900,000"
49,nhl,2013,50,Jonathan Quick,LAK,G,"$5,800,000"
50,nhl,2013,,Brent Seabrook,CHI,D,"$5,800,000"
51,nhl,2013,52,Brent Burns,SJS,D,"$5,760,000"
52,nhl,2013,53,Tobias Enstrom,WPG,D,"$5,750,000"
53,nhl,2013,,Andrei Markov,MTL,D,"$5,750,000"
54,nhl,2013,,Mike Richards,LAK,C,"$5,750,000"
55,nhl,2013,,Tyler Seguin,DAL,C,"$5,750,000"
56,nhl,2013,,Travis Zajac,NJD,C,"$5,750,000"
57,nhl,2013,58,Jeff Skinner,CAR,LW,"$5,725,000"
58,nhl,2013,59,Mike Smith,PHX,G,"$5,666,667"
59,nhl,2013,60,Sergei Bobrovsky,CBJ,G,"$5,625,000"
60,nhl,2013,61,Blake Wheeler,WPG,RW,"$5,600,000"
61,nhl,2013,62,Duncan Keith,CHI,D,"$5,538,462"
62,nhl,2013,63,Matt Carle,TBL,D,"$5,500,000"
63,nhl,2013,,Oliver Ekman-Larsson,PHX,D,"$5,500,000"
64,nhl,2013,,Patrik Elias,NJD,C,"$5,500,000"
65,nhl,2013,,Shawn Horcoff,DAL,LW,"$5,500,000"
66,nhl,2013,,Tyler Myers,BUF,D,"$5,500,000"
67,nhl,2013,,Mike Ribeiro,PHX,C,"$5,500,000"
68,nhl,2013,,John Tavares,NYI,C,"$5,500,000"
69,nhl,2013,,James Wisniewski,CBJ,D,"$5,500,000"
70,nhl,2013,71,Philip Kessel,TOR,RW,"$5,400,000"
71,nhl,2013,72,Shane Doan,PHX,RW,"$5,300,000"
72,nhl,2013,,Nathan Horton,CBJ,RW,"$5,300,000"
73,nhl,2013,74,Jimmy Howard,DET,G,"$5,291,665"
74,nhl,2013,75,Marian Hossa,CHI,RW,"$5,275,000"
75,nhl,2013,76,Jeff Carter,LAK,C,"$5,272,727"
76,nhl,2013,77,Jamie Benn,DAL,LW,"$5,250,000"
77,nhl,2013,,David Clarkson,TOR,RW,"$5,250,000"
78,nhl,2013,,Evander Kane,WPG,LW,"$5,250,000"
79,nhl,2013,,David Krejci,BOS,C,"$5,250,000"
80,nhl,2013,,Joffrey Lupul,TOR,RW,"$5,250,000"
81,nhl,2013,,Mark Streit,PHI,D,"$5,250,000"
82,nhl,2013,,Dennis Wideman,CGY,D,"$5,250,000"
83,nhl,2013,,Keith Yandle,PHX,D,"$5,250,000"
84,nhl,2013,85,Dustin Byfuglien,WPG,D,"$5,200,000"
85,nhl,2013,86,Zach Bogosian,WPG,D,"$5,142,857"
86,nhl,2013,87,Bobby Ryan,OTT,RW,"$5,100,000"
87,nhl,2013,88,Patrice Bergeron,BOS,C,"$5,000,000"
88,nhl,2013,,Alexander Edler,VAN,D,"$5,000,000"
89,nhl,2013,,Valtteri Filppula,TBL,C,"$5,000,000"
90,nhl,2013,,Marc-Andre Fleury,PIT,G,"$5,000,000"
91,nhl,2013,,Brian Gionta,MTL,RW,"$5,000,000"
92,nhl,2013,,Sergei Gonchar,DAL,D,"$5,000,000"
93,nhl,2013,,Martin Havlat,SJS,LW,"$5,000,000"
94,nhl,2013,,Ryan Kesler,VAN,C,"$5,000,000"
95,nhl,2013,,Paul Martin,PIT,D,"$5,000,000"
96,nhl,2013,,James Neal,PIT,LW,"$5,000,000"
97,nhl,2013,,Ryan O'Reilly,COL,C,"$5,000,000"
98,nhl,2013,,Tomas Plekanec,MTL,C,"$5,000,000"
99,nhl,2013,100,Chris Pronger,PHI,D,"$4,941,429"
100,nhl,2013,101,Stephen Weiss,DET,RW,"$4,900,000"
101,nhl,2013,102,Ryane Clowe,NJD,LW,"$4,850,000"
102,nhl,2013,103,Sam Gagner,EDM,C,"$4,800,000"
103,nhl,2013,104,Scott Hartnell,PHI,LW,"$4,750,000"
104,nhl,2013,,Niklas Kronwall,DET,D,"$4,750,000"
105,nhl,2013,,Tuomo Ruutu,NJD,LW,"$4,750,000"
106,nhl,2013,,Lubomir Visnovsky,NYI,D,"$4,750,000"
107,nhl,2013,108,Bryan Little,WPG,C,"$4,700,000"
108,nhl,2013,,Ryan McDonagh,NYR,D,"$4,700,000"
109,nhl,2013,110,Kevin Bieksa,VAN,D,"$4,600,000"
110,nhl,2013,,Jason Garrison,VAN,D,"$4,600,000"
111,nhl,2013,,Alex Goligoski,DAL,D,"$4,600,000"
112,nhl,2013,,R.J. Umberger,CBJ,C,"$4,600,000"
113,nhl,2013,114,Jason Pominville,MIN,RW,"$4,505,000"
114,nhl,2013,115,David Backes,STL,C,"$4,500,000"
115,nhl,2013,,Martin Brodeur,NJD,G,"$4,500,000"
116,nhl,2013,,Alexandre Burrows,VAN,RW,"$4,500,000"
117,nhl,2013,,Braydon Coburn,PHI,D,"$4,500,000"
118,nhl,2013,,Erik Cole,DAL,RW,"$4,500,000"
119,nhl,2013,,Tomas Fleischmann,FLA,LW,"$4,500,000"
120,nhl,2013,,Dan Hamhuis,VAN,D,"$4,500,000"
121,nhl,2013,,Jonas Hiller,ANA,G,"$4,500,000"
122,nhl,2013,,Olli Jokinen,WPG,LW,"$4,500,000"
123,nhl,2013,,Brooks Laich,WAS,C,"$4,500,000"
124,nhl,2013,,Vincent Lecavalier,PHI,RW,"$4,500,000"
125,nhl,2013,,Ville Leino,BUF,LW,"$4,500,000"
126,nhl,2013,,Ryan Malone,TBL,LW,"$4,500,000"
127,nhl,2013,,Brad Marchand,BOS,LW,"$4,500,000"
128,nhl,2013,,Max Pacioretty,MTL,LW,"$4,500,000"
129,nhl,2013,,Joni Pitkanen,CAR,D,"$4,500,000"
130,nhl,2013,,Teddy Purcell,TBL,LW,"$4,500,000"
131,nhl,2013,,Fedor Tyutin,CBJ,D,"$4,500,000"
132,nhl,2013,,Ray Whitney,DAL,LW,"$4,500,000"
133,nhl,2013,134,Andrew Ladd,WPG,LW,"$4,400,000"
134,nhl,2013,,Kris Versteeg,CHI,LW,"$4,400,000"
135,nhl,2013,136,Jack Johnson,CBJ,D,"$4,357,143"
136,nhl,2013,137,Milan Michalek,OTT,LW,"$4,333,333"
137,nhl,2013,138,David Booth,VAN,LW,"$4,250,000"
138,nhl,2013,,Loui Eriksson,BOS,RW,"$4,250,000"
139,nhl,2013,,Cody Hodgson,BUF,C,"$4,250,000"
140,nhl,2013,,Patric Hornqvist,NSH,RW,"$4,250,000"
141,nhl,2013,,Kevin Shattenkirk,STL,D,"$4,250,000"
142,nhl,2013,,James Van Riemsdyk,TOR,LW,"$4,250,000"
143,nhl,2013,,Marc-Edouard Vlasic,SJS,D,"$4,250,000"
144,nhl,2013,,Anton Volchenkov,NJD,D,"$4,250,000"
145,nhl,2013,,Jakub Voracek,PHI,RW,"$4,250,000"
146,nhl,2013,147,Tyler Bozak,TOR,C,"$4,200,000"
147,nhl,2013,,Brandon Dubinsky,CBJ,C,"$4,200,000"
148,nhl,2013,,Mike Fisher,NSH,C,"$4,200,000"
149,nhl,2013,150,T.J. Oshie,STL,RW,"$4,175,000"
150,nhl,2013,151,Slava Voynov,LAK,D,"$4,166,666"
151,nhl,2013,152,Ed Jovanovski,FLA,D,"$4,125,000"
152,nhl,2013,153,Marc Savard,BOS,C,"$4,027,143"
153,nhl,2013,154,Mark Giordano,CGY,D,"$4,020,000"
154,nhl,2013,155,Bryan Bickell,CHI,LW,"$4,000,000"
155,nhl,2013,,Daniel Briere,MTL,RW,"$4,000,000"
156,nhl,2013,,Christian Ehrhoff,BUF,D,"$4,000,000"
157,nhl,2013,,Cam Fowler,ANA,D,"$4,000,000"
158,nhl,2013,,Victor Hedman,TBL,D,"$4,000,000"
159,nhl,2013,,Adam Henrique,NJD,C,"$4,000,000"
160,nhl,2013,,Jiri Hudler,CGY,LW,"$4,000,000"
161,nhl,2013,,David Jones,CGY,RW,"$4,000,000"
162,nhl,2013,,Roman Josi,NSH,D,"$4,000,000"
163,nhl,2013,,Zbynek Michalek,PHX,D,"$4,000,000"
164,nhl,2013,,Pierre-Alexandre Parenteau,COL,RW,"$4,000,000"
165,nhl,2013,,Joe Pavelski,SJS,LW,"$4,000,000"
166,nhl,2013,,Derek Roy,STL,C,"$4,000,000"
